,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,440.0,167.0,126.0,47.0,28.0,39.0,46.0,16.0,23.0,36.0,31.0,36.0,112.0,69.0,38.0,349.0,184.0,148.0,36.0,181.0
folA_1_56_B_MM11,167.0,417.0,116.0,25.0,34.0,37.0,37.0,20.0,49.0,55.0,19.0,46.0,111.0,77.0,27.0,396.0,218.0,135.0,40.0,175.0
folA_1_56_B_MM14,119.0,127.0,470.0,26.0,30.0,34.0,22.0,18.0,62.0,42.0,41.0,37.0,81.0,81.0,37.0,323.0,193.0,123.0,40.0,162.0
folA_1_56_B_MM2,31.0,31.0,21.0,132.0,14.0,31.0,25.0,18.0,7.0,10.0,7.0,9.0,17.0,24.0,23.0,194.0,116.0,77.0,18.0,111.0
folA_1_56_B_MM3,30.0,13.0,18.0,27.0,96.0,18.0,8.0,10.0,7.0,15.0,3.0,6.0,13.0,23.0,14.0,168.0,79.0,34.0,16.0,84.0
folA_1_56_B_MM6,48.0,22.0,17.0,40.0,19.0,128.0,20.0,12.0,8.0,16.0,7.0,6.0,21.0,53.0,10.0,234.0,142.0,67.0,22.0,132.0
folA_1_56_B_MM9,59.0,31.0,18.0,41.0,36.0,27.0,134.0,24.0,10.0,29.0,5.0,18.0,23.0,65.0,15.0,226.0,129.0,60.0,26.0,156.0
folA_1_56_C,21.0,15.0,14.0,26.0,11.0,18.0,11.0,59.0,11.0,13.0,1.0,3.0,7.0,30.0,8.0,116.0,64.0,44.0,8.0,66.0
folA_3_242_B_MM3,68.0,118.0,126.0,41.0,21.0,49.0,21.0,21.0,300.0,50.0,46.0,35.0,150.0,66.0,57.0,485.0,259.0,161.0,49.0,266.0
folA_3_242_C,41.0,51.0,38.0,45.0,19.0,22.0,15.0,19.0,55.0,184.0,10.0,8.0,56.0,59.0,37.0,360.0,211.0,136.0,34.0,169.0
negC_rand_42,57.0,44.0,35.0,8.0,4.0,5.0,8.0,6.0,22.0,17.0,147.0,8.0,28.0,24.0,18.0,124.0,83.0,44.0,27.0,48.0
thyA_1_60_B_MM12,42.0,31.0,24.0,7.0,12.0,14.0,12.0,7.0,17.0,22.0,11.0,75.0,39.0,25.0,15.0,99.0,48.0,30.0,16.0,57.0
thyA_1_60_B_MM13,136.0,96.0,81.0,36.0,26.0,30.0,17.0,17.0,57.0,43.0,23.0,40.0,315.0,78.0,41.0,333.0,190.0,105.0,46.0,139.0
thyA_1_60_B_MM2,85.0,76.0,70.0,77.0,48.0,91.0,48.0,61.0,37.0,59.0,15.0,29.0,87.0,202.0,34.0,204.0,122.0,67.0,35.0,74.0
thyA_1_60_C,52.0,45.0,52.0,49.0,44.0,58.0,35.0,19.0,17.0,28.0,7.0,5.0,39.0,27.0,118.0,137.0,70.0,62.0,10.0,65.0
thyA_3_233_B_MM4,283.0,295.0,235.0,222.0,197.0,250.0,214.0,187.0,126.0,270.0,77.0,55.0,292.0,102.0,90.0,1509.0,487.0,273.0,97.0,377.0
thyA_3_233_B_MM5,190.0,210.0,149.0,132.0,122.0,152.0,121.0,101.0,81.0,207.0,44.0,50.0,183.0,83.0,54.0,579.0,837.0,252.0,73.0,319.0
thyA_3_233_B_MM6,129.0,118.0,106.0,83.0,68.0,89.0,86.0,49.0,42.0,108.0,11.0,28.0,98.0,66.0,23.0,394.0,252.0,605.0,63.0,173.0
thyA_3_233_B_MM7,60.0,34.0,29.0,24.0,19.0,25.0,17.0,14.0,35.0,58.0,21.0,5.0,47.0,20.0,13.0,136.0,76.0,59.0,187.0,57.0
thyA_3_233_C,235.0,237.0,256.0,227.0,207.0,165.0,192.0,197.0,137.0,197.0,66.0,49.0,214.0,107.0,104.0,817.0,439.0,308.0,116.0,978.0
