,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,16323.0,12099.0,10201.0,131.0,48.0,59.0,109.0,70.0,126.0,31.0,1910.0,916.0,7039.0,27.0,10.0,187.0,1000.0,10015.0,5590.0,44.0
folA_1_56_B_MM11,13231.0,26272.0,14375.0,96.0,57.0,55.0,51.0,57.0,1547.0,120.0,4300.0,2252.0,12842.0,5.0,7.0,236.0,1143.0,10822.0,7549.0,73.0
folA_1_56_B_MM14,9604.0,17013.0,32284.0,74.0,29.0,75.0,46.0,60.0,1707.0,420.0,5243.0,1319.0,14677.0,7.0,3.0,338.0,3142.0,17670.0,9718.0,121.0
folA_1_56_B_MM2,48.0,66.0,18.0,166.0,43.0,69.0,117.0,23.0,7.0,35.0,17.0,1.0,46.0,1.0,6.0,82.0,32.0,128.0,2.0,32.0
folA_1_56_B_MM3,49.0,26.0,24.0,85.0,45.0,26.0,97.0,11.0,2.0,5.0,10.0,8.0,13.0,5.0,7.0,56.0,12.0,25.0,3.0,47.0
folA_1_56_B_MM6,94.0,342.0,110.0,49.0,42.0,166.0,42.0,36.0,3.0,50.0,44.0,45.0,24.0,30.0,60.0,26.0,62.0,53.0,6.0,39.0
folA_1_56_B_MM9,131.0,77.0,27.0,376.0,59.0,124.0,706.0,113.0,87.0,28.0,9.0,25.0,36.0,33.0,7.0,86.0,19.0,20.0,12.0,31.0
folA_1_56_C,23.0,16.0,114.0,16.0,1.0,8.0,16.0,174.0,18.0,4.0,3.0,2.0,5.0,6.0,0.0,21.0,38.0,10.0,10.0,7.0
folA_3_242_B_MM3,644.0,2291.0,6749.0,47.0,16.0,61.0,45.0,43.0,8809.0,432.0,2657.0,1507.0,8067.0,43.0,19.0,133.0,681.0,13562.0,6289.0,189.0
folA_3_242_C,65.0,98.0,81.0,51.0,8.0,58.0,12.0,54.0,728.0,269.0,55.0,70.0,244.0,5.0,5.0,137.0,246.0,393.0,277.0,56.0
negC_rand_42,3252.0,4694.0,4251.0,46.0,2.0,27.0,23.0,18.0,560.0,53.0,7119.0,468.0,4736.0,12.0,3.0,33.0,161.0,6177.0,3758.0,16.0
thyA_1_60_B_MM12,1171.0,2280.0,891.0,62.0,7.0,22.0,24.0,5.0,503.0,69.0,451.0,1493.0,3423.0,14.0,11.0,64.0,427.0,1304.0,484.0,17.0
thyA_1_60_B_MM13,8577.0,13096.0,14962.0,65.0,65.0,84.0,76.0,72.0,4067.0,129.0,5146.0,1505.0,34764.0,32.0,11.0,366.0,819.0,9383.0,7172.0,128.0
thyA_1_60_B_MM2,27.0,8.0,40.0,10.0,77.0,61.0,21.0,66.0,14.0,10.0,5.0,14.0,17.0,80.0,4.0,158.0,21.0,8.0,6.0,26.0
thyA_1_60_C,8.0,17.0,9.0,25.0,0.0,1.0,25.0,5.0,40.0,12.0,1.0,15.0,6.0,12.0,33.0,6.0,104.0,8.0,5.0,6.0
thyA_3_233_B_MM4,312.0,149.0,179.0,77.0,50.0,67.0,41.0,43.0,50.0,110.0,21.0,47.0,89.0,33.0,57.0,830.0,307.0,965.0,700.0,200.0
thyA_3_233_B_MM5,1758.0,1723.0,1369.0,121.0,20.0,25.0,36.0,21.0,259.0,405.0,115.0,297.0,1404.0,16.0,9.0,287.0,2021.0,7549.0,5246.0,95.0
thyA_3_233_B_MM6,14858.0,11445.0,9827.0,662.0,16.0,167.0,34.0,12.0,3440.0,506.0,3720.0,1167.0,4694.0,28.0,10.0,216.0,1360.0,22962.0,7640.0,33.0
thyA_3_233_B_MM7,6633.0,5377.0,5185.0,68.0,31.0,13.0,16.0,59.0,5506.0,253.0,2136.0,432.0,2902.0,8.0,9.0,91.0,756.0,4646.0,10234.0,51.0
thyA_3_233_C,126.0,86.0,101.0,51.0,32.0,67.0,30.0,18.0,45.0,51.0,12.0,32.0,163.0,8.0,39.0,284.0,401.0,1486.0,889.0,465.0
