,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,18820.0,5389.0,4251.0,447.0,275.0,333.0,488.0,292.0,628.0,576.0,1123.0,823.0,3405.0,2647.0,1318.0,11478.0,6332.0,3782.0,1548.0,7527.0
folA_1_56_B_MM11,5249.0,17111.0,4960.0,375.0,217.0,287.0,359.0,320.0,1877.0,984.0,1041.0,807.0,3578.0,3100.0,1623.0,13329.0,7954.0,4651.0,1641.0,7566.0
folA_1_56_B_MM14,4285.0,4988.0,16802.0,364.0,244.0,303.0,263.0,289.0,2092.0,959.0,1244.0,810.0,3557.0,3078.0,1679.0,13315.0,8354.0,3987.0,1906.0,7509.0
folA_1_56_B_MM2,598.0,256.0,170.0,1790.0,134.0,164.0,161.0,197.0,97.0,191.0,52.0,44.0,260.0,876.0,418.0,2443.0,1497.0,477.0,195.0,2044.0
folA_1_56_B_MM3,158.0,123.0,117.0,175.0,1249.0,116.0,123.0,123.0,63.0,109.0,52.0,46.0,176.0,673.0,401.0,2146.0,1027.0,392.0,153.0,1705.0
folA_1_56_B_MM6,292.0,231.0,210.0,245.0,218.0,1951.0,209.0,142.0,109.0,195.0,78.0,76.0,303.0,1288.0,542.0,3784.0,1891.0,628.0,216.0,2796.0
folA_1_56_B_MM9,575.0,292.0,215.0,272.0,175.0,248.0,2663.0,215.0,129.0,224.0,85.0,68.0,278.0,1491.0,851.0,6036.0,2610.0,1013.0,287.0,4161.0
folA_1_56_C,209.0,146.0,84.0,159.0,78.0,118.0,84.0,1105.0,83.0,107.0,25.0,42.0,133.0,432.0,285.0,1441.0,938.0,417.0,129.0,1216.0
folA_3_242_B_MM3,1462.0,3775.0,5294.0,456.0,242.0,327.0,323.0,277.0,14115.0,1678.0,1161.0,895.0,4958.0,3218.0,2259.0,14759.0,10022.0,6351.0,2045.0,11048.0
folA_3_242_C,567.0,744.0,780.0,365.0,163.0,229.0,220.0,210.0,1382.0,5575.0,221.0,251.0,1224.0,2534.0,1410.0,10963.0,8269.0,3502.0,1292.0,6959.0
negC_rand_42,1357.0,1016.0,1185.0,104.0,53.0,97.0,88.0,88.0,609.0,293.0,6316.0,244.0,1078.0,893.0,503.0,2885.0,2190.0,1461.0,673.0,2094.0
thyA_1_60_B_MM12,1149.0,953.0,842.0,110.0,76.0,109.0,92.0,61.0,408.0,306.0,224.0,2556.0,961.0,989.0,399.0,3306.0,1883.0,1115.0,279.0,1890.0
thyA_1_60_B_MM13,4082.0,3917.0,3589.0,394.0,297.0,334.0,317.0,267.0,1933.0,1099.0,1083.0,1068.0,15282.0,3533.0,1714.0,12526.0,8400.0,4694.0,1914.0,6946.0
thyA_1_60_B_MM2,2590.0,2843.0,2610.0,1379.0,1209.0,1329.0,1411.0,1011.0,1307.0,2658.0,675.0,515.0,2491.0,9931.0,1529.0,6612.0,4726.0,2847.0,1370.0,3552.0
thyA_1_60_C,1633.0,1943.0,1799.0,939.0,966.0,863.0,913.0,660.0,793.0,1562.0,465.0,318.0,1466.0,1423.0,5615.0,4682.0,3037.0,1997.0,692.0,2207.0
thyA_3_233_B_MM4,10067.0,8064.0,7639.0,3332.0,2282.0,3477.0,4464.0,2468.0,3300.0,9624.0,2096.0,1614.0,7260.0,4117.0,2478.0,50233.0,16308.0,10325.0,3689.0,11452.0
thyA_3_233_B_MM5,8111.0,6990.0,6836.0,2107.0,1350.0,2053.0,2650.0,1527.0,2916.0,7144.0,1671.0,1325.0,6291.0,3690.0,2884.0,18311.0,37623.0,8980.0,3745.0,13631.0
thyA_3_233_B_MM6,5026.0,3538.0,3337.0,866.0,512.0,775.0,1005.0,738.0,1594.0,3976.0,1186.0,645.0,3781.0,2517.0,1471.0,11317.0,9840.0,20118.0,2202.0,7811.0
thyA_3_233_B_MM7,2155.0,1714.0,1733.0,330.0,190.0,252.0,315.0,290.0,813.0,1178.0,535.0,298.0,1608.0,1038.0,577.0,5361.0,3705.0,2423.0,8243.0,3209.0
thyA_3_233_C,10608.0,8104.0,10849.0,3935.0,3297.0,3723.0,5144.0,3853.0,5387.0,9790.0,2431.0,1357.0,8852.0,4882.0,3722.0,28745.0,19856.0,12789.0,5839.0,58740.0
