,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,5958.0,2433.0,1738.0,27.0,31.0,32.0,48.0,32.0,34.0,42.0,336.0,379.0,1468.0,1218.0,778.0,9559.0,3183.0,2214.0,716.0,5009.0
folA_1_56_B_MM11,2924.0,5189.0,2435.0,22.0,1.0,28.0,48.0,15.0,398.0,69.0,459.0,691.0,1832.0,1909.0,868.0,11988.0,4826.0,2577.0,999.0,6361.0
folA_1_56_B_MM14,2009.0,2772.0,5870.0,12.0,27.0,19.0,117.0,14.0,775.0,58.0,528.0,651.0,1493.0,1617.0,1028.0,9931.0,5073.0,2837.0,911.0,5007.0
folA_1_56_B_MM2,28.0,4.0,13.0,68.0,3.0,21.0,6.0,15.0,3.0,16.0,0.0,7.0,8.0,145.0,93.0,605.0,116.0,14.0,2.0,470.0
folA_1_56_B_MM3,23.0,29.0,15.0,5.0,97.0,12.0,5.0,0.0,1.0,15.0,5.0,0.0,20.0,67.0,27.0,445.0,138.0,52.0,17.0,338.0
folA_1_56_B_MM6,55.0,26.0,18.0,13.0,14.0,107.0,1.0,8.0,2.0,4.0,1.0,6.0,20.0,557.0,104.0,1173.0,259.0,32.0,14.0,569.0
folA_1_56_B_MM9,57.0,32.0,25.0,10.0,14.0,14.0,244.0,5.0,2.0,2.0,0.0,6.0,25.0,790.0,389.0,2466.0,674.0,194.0,19.0,1801.0
folA_1_56_C,16.0,6.0,30.0,13.0,101.0,26.0,12.0,55.0,2.0,43.0,1.0,7.0,12.0,64.0,91.0,238.0,114.0,16.0,9.0,228.0
folA_3_242_B_MM3,198.0,1473.0,2345.0,17.0,19.0,3.0,12.0,5.0,2587.0,47.0,522.0,439.0,1913.0,2348.0,1526.0,15278.0,6766.0,4714.0,992.0,6553.0
folA_3_242_C,43.0,95.0,110.0,48.0,4.0,22.0,1.0,11.0,307.0,490.0,8.0,59.0,107.0,1297.0,696.0,8859.0,5072.0,1827.0,481.0,5447.0
negC_rand_42,575.0,735.0,614.0,16.0,2.0,10.0,7.0,3.0,231.0,24.0,2019.0,112.0,541.0,570.0,390.0,3021.0,1623.0,966.0,394.0,1604.0
thyA_1_60_B_MM12,705.0,815.0,768.0,1.0,7.0,12.0,15.0,2.0,351.0,29.0,147.0,914.0,756.0,686.0,226.0,4091.0,1702.0,877.0,569.0,2023.0
thyA_1_60_B_MM13,1783.0,1671.0,1779.0,33.0,38.0,51.0,53.0,51.0,820.0,94.0,441.0,670.0,4991.0,2274.0,971.0,12229.0,6241.0,2822.0,1053.0,5309.0
thyA_1_60_B_MM2,1506.0,2117.0,1845.0,189.0,166.0,421.0,632.0,192.0,944.0,1182.0,303.0,353.0,1716.0,2650.0,879.0,5641.0,2416.0,2391.0,1012.0,3198.0
thyA_1_60_C,1132.0,1327.0,1536.0,132.0,150.0,242.0,381.0,93.0,432.0,951.0,258.0,181.0,1074.0,759.0,1395.0,3736.0,2789.0,1410.0,539.0,1359.0
thyA_3_233_B_MM4,7170.0,6747.0,8279.0,360.0,163.0,647.0,2471.0,319.0,2391.0,4904.0,1631.0,1433.0,5296.0,3398.0,2304.0,38795.0,12659.0,8742.0,3016.0,12486.0
thyA_3_233_B_MM5,4621.0,4296.0,4537.0,187.0,97.0,210.0,562.0,104.0,1979.0,3273.0,1018.0,697.0,4197.0,2702.0,1339.0,16540.0,16125.0,5112.0,2718.0,10090.0
thyA_3_233_B_MM6,2766.0,2479.0,2034.0,47.0,58.0,47.0,225.0,58.0,872.0,1289.0,584.0,752.0,2566.0,1748.0,919.0,11710.0,6317.0,8560.0,1577.0,6494.0
thyA_3_233_B_MM7,1157.0,844.0,1217.0,28.0,2.0,129.0,28.0,8.0,652.0,434.0,191.0,398.0,1387.0,615.0,474.0,5737.0,2280.0,1577.0,2163.0,2632.0
thyA_3_233_C,6701.0,5283.0,7221.0,481.0,383.0,845.0,1696.0,374.0,2861.0,4950.0,1168.0,1496.0,6178.0,3011.0,2753.0,29553.0,14301.0,8334.0,3315.0,25197.0
