,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,10303.0,3918.0,2440.0,138.0,58.0,174.0,245.0,218.0,220.0,391.0,719.0,683.0,3294.0,1877.0,995.0,10962.0,4671.0,3028.0,1005.0,7013.0
folA_1_56_B_MM11,4136.0,17455.0,4996.0,152.0,190.0,189.0,253.0,187.0,1997.0,679.0,1250.0,1041.0,7338.0,3570.0,1911.0,23723.0,12926.0,7279.0,2327.0,11328.0
folA_1_56_B_MM14,2498.0,6409.0,18748.0,137.0,68.0,151.0,278.0,241.0,1930.0,783.0,1684.0,942.0,6727.0,4388.0,1915.0,23537.0,12938.0,7059.0,2453.0,11799.0
folA_1_56_B_MM2,116.0,153.0,53.0,612.0,40.0,66.0,68.0,102.0,39.0,59.0,23.0,25.0,103.0,338.0,144.0,1288.0,438.0,160.0,65.0,968.0
folA_1_56_B_MM3,78.0,63.0,29.0,130.0,411.0,22.0,58.0,58.0,18.0,38.0,12.0,10.0,46.0,240.0,179.0,1211.0,376.0,215.0,37.0,617.0
folA_1_56_B_MM6,163.0,102.0,83.0,86.0,62.0,736.0,72.0,63.0,19.0,108.0,22.0,30.0,214.0,584.0,261.0,2618.0,892.0,369.0,80.0,1562.0
folA_1_56_B_MM9,242.0,158.0,84.0,151.0,37.0,183.0,1195.0,61.0,67.0,114.0,36.0,28.0,172.0,1032.0,565.0,3934.0,1493.0,428.0,168.0,2691.0
folA_1_56_C,34.0,65.0,23.0,32.0,11.0,13.0,32.0,489.0,9.0,50.0,7.0,10.0,27.0,128.0,181.0,660.0,424.0,142.0,22.0,547.0
folA_3_242_B_MM3,694.0,3945.0,6051.0,110.0,97.0,120.0,196.0,123.0,13751.0,987.0,1387.0,1015.0,5269.0,3737.0,1750.0,32120.0,14854.0,8756.0,3173.0,17522.0
folA_3_242_C,427.0,632.0,599.0,138.0,51.0,100.0,85.0,146.0,1085.0,5642.0,166.0,242.0,1030.0,4064.0,1701.0,26899.0,11718.0,4464.0,1125.0,10540.0
negC_rand_42,864.0,1375.0,1739.0,67.0,22.0,66.0,71.0,64.0,819.0,293.0,6570.0,395.0,1778.0,773.0,681.0,5590.0,3144.0,2520.0,521.0,3927.0
thyA_1_60_B_MM12,940.0,1312.0,972.0,86.0,13.0,48.0,48.0,37.0,495.0,243.0,477.0,2034.0,929.0,944.0,518.0,4476.0,1736.0,1228.0,217.0,2314.0
thyA_1_60_B_MM13,3036.0,5844.0,5283.0,155.0,136.0,172.0,256.0,114.0,2475.0,860.0,1488.0,1568.0,17969.0,3577.0,1757.0,24808.0,10711.0,6456.0,2610.0,12050.0
thyA_1_60_B_MM2,1600.0,3385.0,2967.0,760.0,592.0,932.0,920.0,627.0,1853.0,4582.0,698.0,471.0,3785.0,8930.0,1797.0,11050.0,5807.0,3176.0,982.0,4559.0
thyA_1_60_C,966.0,1991.0,2511.0,578.0,493.0,628.0,813.0,351.0,802.0,2363.0,501.0,642.0,2357.0,1980.0,5255.0,6686.0,4274.0,2080.0,588.0,2486.0
thyA_3_233_B_MM4,8819.0,13489.0,16235.0,1438.0,1153.0,2614.0,2628.0,1594.0,7657.0,17795.0,4612.0,2507.0,17212.0,7553.0,3840.0,89803.0,32940.0,16058.0,6089.0,25768.0
thyA_3_233_B_MM5,5292.0,8777.0,8728.0,764.0,306.0,617.0,1070.0,512.0,3487.0,7925.0,2598.0,1284.0,10714.0,5233.0,3516.0,31498.0,41257.0,9156.0,3942.0,16852.0
thyA_3_233_B_MM6,3458.0,4479.0,3583.0,213.0,132.0,288.0,321.0,275.0,1704.0,3271.0,997.0,723.0,5522.0,3096.0,1624.0,20343.0,14796.0,22999.0,2451.0,12385.0
thyA_3_233_B_MM7,1430.0,2927.0,2113.0,84.0,156.0,109.0,78.0,238.0,1373.0,926.0,531.0,582.0,2827.0,1272.0,987.0,5046.0,4789.0,3604.0,7440.0,4390.0
thyA_3_233_C,5440.0,10009.0,11645.0,1260.0,1102.0,1859.0,2177.0,1370.0,6669.0,15396.0,3410.0,1491.0,13814.0,4439.0,3355.0,47503.0,22967.0,15442.0,7596.0,54960.0
