,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,36900.0,20111.0,13667.0,859.0,486.0,1144.0,757.0,433.0,696.0,867.0,3585.0,3337.0,15244.0,487.0,229.0,5892.0,6929.0,15490.0,5551.0,1226.0
folA_1_56_B_MM11,19202.0,38795.0,12656.0,705.0,462.0,849.0,619.0,345.0,4073.0,1695.0,3520.0,3865.0,15474.0,833.0,446.0,4222.0,8430.0,11010.0,4759.0,1665.0
folA_1_56_B_MM14,13209.0,17116.0,30687.0,921.0,640.0,611.0,811.0,395.0,6643.0,1323.0,4385.0,3764.0,14772.0,328.0,205.0,4936.0,10986.0,14944.0,5794.0,1260.0
folA_1_56_B_MM2,727.0,571.0,273.0,1688.0,323.0,333.0,522.0,278.0,137.0,265.0,148.0,201.0,435.0,91.0,66.0,794.0,358.0,341.0,150.0,468.0
folA_1_56_B_MM3,335.0,281.0,194.0,255.0,655.0,343.0,215.0,154.0,181.0,194.0,82.0,110.0,363.0,91.0,100.0,1016.0,312.0,249.0,67.0,311.0
folA_1_56_B_MM6,725.0,1054.0,611.0,574.0,359.0,1389.0,652.0,375.0,157.0,377.0,203.0,155.0,677.0,223.0,59.0,1356.0,661.0,469.0,149.0,456.0
folA_1_56_B_MM9,1426.0,731.0,382.0,602.0,368.0,678.0,1698.0,296.0,238.0,419.0,182.0,294.0,945.0,248.0,159.0,1284.0,646.0,625.0,219.0,896.0
folA_1_56_C,357.0,323.0,183.0,297.0,181.0,232.0,177.0,620.0,115.0,187.0,51.0,136.0,211.0,103.0,2.0,410.0,297.0,306.0,88.0,150.0
folA_3_242_B_MM3,1678.0,9135.0,9294.0,674.0,264.0,578.0,291.0,325.0,11108.0,1597.0,4380.0,1929.0,11529.0,344.0,183.0,3731.0,4485.0,11705.0,3211.0,1934.0
folA_3_242_C,802.0,1354.0,1261.0,703.0,258.0,542.0,332.0,365.0,2873.0,2939.0,532.0,940.0,1651.0,235.0,114.0,1940.0,2285.0,3045.0,1655.0,883.0
negC_rand_42,4453.0,4807.0,4366.0,202.0,98.0,207.0,101.0,114.0,1651.0,480.0,14305.0,1184.0,3738.0,116.0,100.0,845.0,1214.0,4068.0,1348.0,491.0
thyA_1_60_B_MM12,6225.0,5853.0,3060.0,203.0,138.0,318.0,275.0,370.0,1244.0,776.0,764.0,5770.0,2942.0,172.0,22.0,1500.0,1700.0,2769.0,581.0,692.0
thyA_1_60_B_MM13,14062.0,13782.0,13641.0,397.0,332.0,553.0,731.0,400.0,4305.0,1184.0,3969.0,4049.0,31328.0,416.0,128.0,3391.0,4842.0,9342.0,3702.0,803.0
thyA_1_60_B_MM2,482.0,538.0,316.0,266.0,201.0,269.0,258.0,295.0,176.0,314.0,116.0,153.0,362.0,901.0,126.0,869.0,458.0,316.0,151.0,392.0
thyA_1_60_C,317.0,257.0,211.0,158.0,172.0,145.0,111.0,64.0,42.0,191.0,96.0,139.0,162.0,94.0,467.0,377.0,252.0,171.0,84.0,201.0
thyA_3_233_B_MM4,3278.0,3162.0,2628.0,806.0,776.0,897.0,1086.0,676.0,1121.0,1447.0,500.0,1058.0,2744.0,759.0,410.0,12403.0,6302.0,8720.0,3062.0,2758.0
thyA_3_233_B_MM5,7891.0,8655.0,6055.0,549.0,409.0,542.0,671.0,349.0,2370.0,2312.0,745.0,2249.0,3320.0,478.0,128.0,4476.0,16153.0,12058.0,5184.0,1487.0
thyA_3_233_B_MM6,11235.0,12861.0,8998.0,337.0,319.0,491.0,416.0,707.0,2916.0,2741.0,2725.0,2808.0,6620.0,285.0,175.0,3361.0,8266.0,31797.0,5514.0,1252.0
thyA_3_233_B_MM7,6120.0,4478.0,4185.0,147.0,144.0,233.0,270.0,98.0,2657.0,898.0,1280.0,1657.0,4315.0,91.0,67.0,1941.0,2760.0,3695.0,9442.0,633.0
thyA_3_233_C,1735.0,1331.0,1073.0,784.0,553.0,678.0,623.0,352.0,1469.0,944.0,712.0,800.0,1079.0,368.0,233.0,5847.0,4131.0,7167.0,1964.0,6080.0
