,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,negC_rand_42,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
folA_1_56_B_MM10,336.0,104.0,47.0,4.0,3.0,8.0,7.0,1.0,5.0,7.0,19.0,19.0,72.0,42.0,17.0,273.0,122.0,86.0,33.0,116.0
folA_1_56_B_MM11,154.0,435.0,80.0,3.0,1.0,7.0,10.0,4.0,22.0,8.0,12.0,18.0,97.0,54.0,37.0,318.0,182.0,69.0,25.0,100.0
folA_1_56_B_MM14,105.0,107.0,458.0,3.0,4.0,4.0,5.0,2.0,24.0,13.0,23.0,16.0,84.0,63.0,21.0,285.0,176.0,90.0,51.0,153.0
folA_1_56_B_MM2,3.0,3.0,2.0,20.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,5.0,7.0,1.0,28.0,12.0,1.0,4.0,17.0
folA_1_56_B_MM3,3.0,2.0,0.0,3.0,12.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,8.0,1.0,30.0,5.0,7.0,0.0,16.0
folA_1_56_B_MM6,5.0,2.0,2.0,9.0,2.0,19.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,7.0,5.0,43.0,29.0,5.0,2.0,27.0
folA_1_56_B_MM9,9.0,6.0,4.0,2.0,1.0,1.0,41.0,1.0,1.0,1.0,3.0,0.0,3.0,24.0,13.0,52.0,16.0,12.0,3.0,49.0
folA_1_56_C,2.0,2.0,2.0,0.0,1.0,1.0,2.0,12.0,1.0,0.0,0.0,2.0,0.0,5.0,2.0,12.0,4.0,4.0,1.0,5.0
folA_3_242_B_MM3,16.0,37.0,83.0,5.0,5.0,2.0,8.0,1.0,233.0,16.0,25.0,18.0,61.0,42.0,27.0,296.0,164.0,109.0,25.0,186.0
folA_3_242_C,8.0,10.0,10.0,6.0,1.0,3.0,2.0,3.0,24.0,99.0,1.0,5.0,21.0,48.0,14.0,287.0,117.0,52.0,16.0,123.0
negC_rand_42,19.0,28.0,34.0,0.0,1.0,1.0,4.0,0.0,8.0,4.0,126.0,5.0,30.0,8.0,8.0,75.0,41.0,23.0,7.0,49.0
thyA_1_60_B_MM12,24.0,32.0,9.0,0.0,6.0,2.0,0.0,2.0,9.0,2.0,6.0,52.0,18.0,12.0,5.0,53.0,21.0,14.0,4.0,40.0
thyA_1_60_B_MM13,61.0,87.0,71.0,1.0,3.0,5.0,3.0,1.0,25.0,12.0,21.0,16.0,370.0,43.0,18.0,292.0,144.0,71.0,32.0,128.0
thyA_1_60_B_MM2,34.0,46.0,40.0,17.0,18.0,17.0,14.0,18.0,22.0,52.0,8.0,16.0,50.0,170.0,14.0,118.0,104.0,64.0,19.0,64.0
thyA_1_60_C,33.0,35.0,33.0,12.0,8.0,10.0,13.0,13.0,8.0,25.0,6.0,8.0,29.0,15.0,85.0,75.0,55.0,30.0,6.0,38.0
thyA_3_233_B_MM4,195.0,173.0,157.0,30.0,27.0,37.0,32.0,31.0,88.0,147.0,32.0,25.0,185.0,74.0,54.0,1362.0,320.0,181.0,70.0,282.0
thyA_3_233_B_MM5,127.0,123.0,111.0,15.0,6.0,14.0,21.0,18.0,59.0,98.0,23.0,17.0,114.0,70.0,25.0,339.0,842.0,140.0,66.0,189.0
thyA_3_233_B_MM6,74.0,59.0,49.0,10.0,5.0,3.0,1.0,5.0,25.0,32.0,20.0,11.0,63.0,38.0,18.0,244.0,194.0,567.0,37.0,101.0
thyA_3_233_B_MM7,45.0,30.0,22.0,4.0,3.0,1.0,0.0,3.0,23.0,11.0,9.0,6.0,39.0,13.0,10.0,88.0,77.0,39.0,176.0,53.0
thyA_3_233_C,154.0,134.0,142.0,45.0,27.0,39.0,35.0,24.0,81.0,116.0,38.0,22.0,159.0,54.0,50.0,513.0,282.0,197.0,58.0,939.0
