,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,24579.0,3876.0,6036.0,333.0,6900.0,2979.0,1799.0,4416.0,3595.0,2236.0,2492.0,2279.0,5631.0,2249.0,1598.0,2381.0,2722.0,4135.0,2596.0,1873.0,1778.0,2669.0,1158.0,2100.0,5391.0,1303.0,1003.0,2033.0,2559.0,450.0,529.0,999.0,1095.0,533.0,3811.0,471.0,3016.0,4780.0,591.0,3900.0,1621.0,2087.0,769.0,2425.0,649.0,2847.0,654.0,78.0,350.0,175.0,282.0,641.0,2807.0,3184.0,2653.0,2000.0,10094.0,5325.0,1967.0,1799.0,2898.0,1519.0,1306.0,2265.0,2046.0,2746.0,2087.0,6013.0,2645.0,584.0,173.0,2338.0,2720.0,1667.0,943.0,1516.0,2525.0,691.0,3001.0,2522.0,0.0,4205.0,721.0,6681.0,4489.0,2111.0
dapA_1_98_B_MM7,2544.0,16113.0,2467.0,206.0,1840.0,1594.0,1402.0,2798.0,3862.0,1019.0,1669.0,1848.0,2401.0,1402.0,1363.0,2597.0,2258.0,2968.0,1038.0,1063.0,1046.0,947.0,374.0,1236.0,1242.0,1674.0,768.0,487.0,1765.0,112.0,79.0,1441.0,883.0,537.0,2428.0,178.0,1838.0,2462.0,684.0,1110.0,2111.0,1252.0,213.0,1406.0,479.0,1710.0,487.0,106.0,427.0,356.0,73.0,787.0,1460.0,2146.0,442.0,1805.0,4701.0,2393.0,1188.0,1005.0,702.0,2450.0,2193.0,978.0,557.0,1394.0,1307.0,1119.0,1646.0,51.0,390.0,1114.0,1577.0,496.0,363.0,1144.0,1873.0,551.0,1240.0,2581.0,0.0,3892.0,544.0,3427.0,3903.0,1957.0
dapA_1_98_B_MM9,3011.0,4455.0,23309.0,1232.0,4401.0,2848.0,4062.0,4708.0,4372.0,2673.0,1894.0,3946.0,3967.0,1058.0,2921.0,2743.0,2436.0,5038.0,1381.0,1948.0,1661.0,1562.0,1331.0,2615.0,5581.0,1905.0,1463.0,896.0,2481.0,512.0,711.0,1149.0,2052.0,389.0,6585.0,928.0,2430.0,3462.0,754.0,1798.0,1746.0,383.0,1557.0,2068.0,473.0,2444.0,525.0,50.0,460.0,226.0,168.0,2020.0,2141.0,2759.0,1595.0,2066.0,13902.0,2977.0,2251.0,1772.0,3315.0,2269.0,585.0,598.0,715.0,3245.0,2593.0,2981.0,4142.0,46.0,52.0,1222.0,2427.0,1175.0,233.0,1146.0,3706.0,480.0,3117.0,2009.0,0.0,5151.0,1159.0,3012.0,2962.0,3164.0
dapA_1_98_C,2701.0,166.0,2541.0,6125.0,1104.0,1560.0,789.0,637.0,701.0,500.0,793.0,427.0,1878.0,577.0,392.0,681.0,467.0,1583.0,187.0,905.0,294.0,861.0,88.0,835.0,1476.0,858.0,137.0,668.0,652.0,73.0,570.0,288.0,280.0,51.0,2023.0,53.0,272.0,838.0,477.0,257.0,425.0,964.0,112.0,183.0,441.0,1911.0,171.0,75.0,88.0,45.0,543.0,64.0,794.0,914.0,78.0,312.0,3401.0,1876.0,503.0,497.0,703.0,1057.0,59.0,1045.0,189.0,1075.0,484.0,448.0,870.0,27.0,239.0,540.0,255.0,860.0,66.0,511.0,559.0,430.0,1263.0,714.0,0.0,1566.0,62.0,868.0,1057.0,595.0
dapB_3_239_B_MM10,4600.0,1304.0,3802.0,1473.0,18943.0,2069.0,1477.0,3572.0,2199.0,1614.0,2127.0,2706.0,2804.0,1192.0,1075.0,3606.0,1857.0,3858.0,1038.0,2448.0,1760.0,1911.0,448.0,2832.0,2566.0,600.0,896.0,486.0,1277.0,351.0,1148.0,692.0,1428.0,487.0,2799.0,228.0,1006.0,1749.0,1845.0,1742.0,556.0,1150.0,1263.0,1587.0,756.0,1659.0,959.0,224.0,284.0,450.0,716.0,1255.0,3724.0,2626.0,1055.0,2177.0,7898.0,2694.0,1987.0,2362.0,2643.0,994.0,309.0,1131.0,736.0,2015.0,3497.0,2256.0,3040.0,741.0,197.0,822.0,2125.0,608.0,526.0,1869.0,3904.0,830.0,2576.0,2754.0,0.0,4181.0,1393.0,2945.0,2775.0,2231.0
dapB_3_239_B_MM6,3462.0,2889.0,2186.0,1992.0,2949.0,13881.0,2074.0,3087.0,2488.0,737.0,1487.0,3039.0,1728.0,1489.0,1400.0,2670.0,2194.0,2794.0,1455.0,1089.0,708.0,1190.0,185.0,1758.0,3223.0,919.0,564.0,203.0,560.0,345.0,777.0,709.0,1634.0,485.0,1779.0,283.0,991.0,3015.0,1144.0,1319.0,332.0,661.0,325.0,2452.0,1010.0,1775.0,284.0,30.0,669.0,1091.0,403.0,239.0,3279.0,3055.0,834.0,849.0,7207.0,3342.0,897.0,1698.0,2940.0,443.0,77.0,1150.0,631.0,2142.0,5892.0,2272.0,1185.0,225.0,82.0,1170.0,1752.0,1110.0,593.0,2232.0,2336.0,464.0,2668.0,1922.0,0.0,3067.0,707.0,2082.0,2759.0,1659.0
dapB_3_239_B_MM9,2318.0,618.0,3401.0,499.0,3077.0,1853.0,10214.0,2572.0,1066.0,613.0,1435.0,2372.0,1813.0,1330.0,719.0,1496.0,2140.0,960.0,333.0,485.0,253.0,623.0,762.0,848.0,1630.0,179.0,351.0,308.0,902.0,169.0,532.0,615.0,1258.0,379.0,1739.0,38.0,1476.0,1231.0,601.0,969.0,502.0,1712.0,1078.0,412.0,336.0,720.0,94.0,33.0,375.0,77.0,365.0,702.0,1460.0,2931.0,1632.0,1887.0,7433.0,1335.0,489.0,1503.0,1133.0,229.0,61.0,636.0,459.0,1354.0,2100.0,1616.0,1235.0,266.0,38.0,650.0,1004.0,314.0,335.0,988.0,534.0,163.0,2948.0,2282.0,0.0,5388.0,229.0,967.0,1278.0,924.0
dapB_3_239_C,4908.0,3195.0,4657.0,1084.0,4754.0,2139.0,1615.0,20375.0,2116.0,1097.0,3412.0,1350.0,5428.0,2504.0,1378.0,3124.0,2169.0,3221.0,1286.0,439.0,918.0,2065.0,713.0,2210.0,5283.0,1585.0,1303.0,582.0,873.0,180.0,276.0,1245.0,3647.0,954.0,6633.0,436.0,1555.0,2764.0,852.0,1605.0,1372.0,1862.0,949.0,1430.0,1161.0,2838.0,799.0,234.0,956.0,104.0,72.0,959.0,2627.0,3650.0,1799.0,1801.0,10971.0,4139.0,470.0,1581.0,2437.0,1244.0,978.0,2482.0,426.0,2814.0,2000.0,1133.0,2603.0,56.0,171.0,1193.0,2177.0,760.0,1048.0,759.0,1684.0,731.0,2925.0,2781.0,0.0,3609.0,314.0,2606.0,5113.0,2279.0
dapD_1_42_C,4327.0,1882.0,4079.0,3335.0,3117.0,2834.0,525.0,4840.0,12566.0,801.0,1136.0,1357.0,2341.0,1812.0,880.0,2303.0,2208.0,2905.0,783.0,1541.0,2506.0,1059.0,677.0,1923.0,2703.0,595.0,687.0,1132.0,831.0,260.0,1097.0,518.0,2560.0,337.0,1897.0,345.0,2330.0,2499.0,1166.0,1210.0,728.0,458.0,391.0,773.0,660.0,1419.0,462.0,27.0,151.0,120.0,289.0,444.0,2452.0,4311.0,1890.0,712.0,6054.0,2393.0,908.0,1477.0,2633.0,726.0,100.0,1822.0,320.0,1845.0,1509.0,870.0,1297.0,48.0,36.0,1595.0,1709.0,826.0,128.0,1032.0,1567.0,120.0,1759.0,2228.0,0.0,5049.0,1160.0,2327.0,3024.0,1343.0
dapD_1_42_MM10,2166.0,1609.0,2041.0,613.0,1606.0,1910.0,1366.0,981.0,622.0,6274.0,1508.0,598.0,992.0,191.0,1258.0,418.0,440.0,1778.0,91.0,326.0,635.0,486.0,161.0,733.0,1590.0,633.0,59.0,59.0,740.0,18.0,190.0,264.0,1007.0,461.0,1376.0,27.0,813.0,1152.0,721.0,1211.0,260.0,351.0,89.0,862.0,223.0,791.0,106.0,254.0,139.0,14.0,233.0,894.0,1895.0,1441.0,970.0,389.0,4874.0,657.0,143.0,1352.0,1092.0,151.0,14.0,862.0,368.0,1394.0,1605.0,747.0,674.0,418.0,483.0,269.0,792.0,808.0,59.0,618.0,1013.0,138.0,532.0,1207.0,0.0,2523.0,916.0,1190.0,2002.0,1487.0
