,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,26893.0,4078.0,5907.0,1348.0,7479.0,9366.0,3822.0,6895.0,4530.0,3833.0,2543.0,4791.0,8880.0,2648.0,1698.0,3468.0,4912.0,7368.0,1302.0,1158.0,1000.0,916.0,871.0,2445.0,4299.0,2289.0,516.0,413.0,2806.0,142.0,1197.0,651.0,2245.0,339.0,4281.0,567.0,2330.0,4643.0,511.0,2750.0,1275.0,998.0,545.0,3666.0,872.0,2727.0,219.0,612.0,687.0,1271.0,788.0,1286.0,6235.0,2882.0,3328.0,1859.0,11046.0,4009.0,1587.0,1840.0,6829.0,1957.0,967.0,2868.0,720.0,5473.0,2104.0,3000.0,2622.0,397.0,186.0,1094.0,1759.0,1007.0,453.0,1701.0,3938.0,1363.0,5719.0,6128.0,0.0,10813.0,2139.0,4375.0,5208.0,2594.0
dapA_1_98_B_MM7,3042.0,15021.0,3967.0,826.0,5433.0,3902.0,2050.0,4608.0,1903.0,770.0,628.0,1250.0,2963.0,1484.0,1234.0,3344.0,1139.0,3351.0,419.0,520.0,528.0,737.0,563.0,1370.0,2103.0,1379.0,286.0,254.0,974.0,65.0,432.0,455.0,833.0,231.0,3665.0,390.0,1437.0,2369.0,208.0,2434.0,1116.0,798.0,465.0,1679.0,184.0,916.0,465.0,169.0,160.0,429.0,276.0,1012.0,5750.0,1380.0,753.0,905.0,7959.0,1690.0,1347.0,1349.0,2056.0,2418.0,202.0,1197.0,392.0,2353.0,1185.0,956.0,984.0,97.0,64.0,1171.0,1198.0,340.0,836.0,1643.0,3033.0,376.0,1633.0,3764.0,0.0,4693.0,267.0,2301.0,2457.0,1144.0
dapA_1_98_B_MM9,6705.0,3870.0,25531.0,1343.0,5149.0,4699.0,4469.0,6497.0,5434.0,2425.0,3025.0,5571.0,4540.0,4506.0,2648.0,4752.0,4555.0,6389.0,1194.0,1236.0,1052.0,524.0,1182.0,1536.0,4664.0,2179.0,281.0,692.0,3437.0,195.0,999.0,1099.0,2262.0,283.0,5443.0,734.0,2033.0,3494.0,625.0,2166.0,2551.0,1497.0,527.0,2299.0,468.0,2574.0,1010.0,389.0,601.0,88.0,1086.0,1428.0,4209.0,3544.0,1781.0,2659.0,19832.0,3434.0,1735.0,2306.0,6123.0,2781.0,771.0,3205.0,848.0,6214.0,1738.0,1484.0,2229.0,108.0,99.0,1978.0,1762.0,1545.0,416.0,2741.0,4909.0,606.0,4331.0,5688.0,0.0,9527.0,694.0,2894.0,4724.0,4473.0
dapA_1_98_C,2585.0,1456.0,2035.0,5646.0,1863.0,2867.0,1042.0,5272.0,976.0,873.0,701.0,817.0,1605.0,341.0,1512.0,1431.0,1440.0,884.0,239.0,359.0,292.0,202.0,135.0,371.0,1093.0,480.0,31.0,104.0,453.0,7.0,257.0,92.0,556.0,36.0,1300.0,74.0,521.0,220.0,105.0,584.0,479.0,581.0,59.0,841.0,465.0,691.0,118.0,227.0,280.0,27.0,200.0,81.0,1820.0,722.0,515.0,456.0,3321.0,909.0,577.0,395.0,1376.0,1073.0,476.0,652.0,113.0,2110.0,1144.0,1029.0,417.0,107.0,91.0,383.0,529.0,853.0,170.0,1025.0,412.0,410.0,1194.0,1994.0,0.0,2045.0,503.0,569.0,996.0,374.0
dapB_3_239_B_MM10,5932.0,3468.0,7248.0,2197.0,25190.0,4648.0,3745.0,5295.0,3182.0,1835.0,1666.0,3489.0,2945.0,716.0,1053.0,2190.0,2948.0,2736.0,957.0,290.0,1288.0,1077.0,431.0,2561.0,2842.0,949.0,289.0,297.0,1366.0,116.0,460.0,1085.0,1876.0,1322.0,4178.0,81.0,2224.0,2036.0,672.0,2043.0,1191.0,1726.0,935.0,3519.0,551.0,2540.0,248.0,635.0,653.0,539.0,610.0,1097.0,4832.0,3740.0,880.0,1797.0,11438.0,3725.0,2090.0,1748.0,6873.0,1363.0,187.0,1160.0,417.0,3810.0,2547.0,1475.0,1937.0,96.0,43.0,774.0,1435.0,703.0,464.0,845.0,4398.0,427.0,1788.0,4065.0,0.0,11389.0,1095.0,3125.0,2811.0,4467.0
dapB_3_239_B_MM6,4964.0,2333.0,5028.0,2367.0,3499.0,15295.0,4181.0,3485.0,2894.0,1334.0,3592.0,2610.0,2466.0,1338.0,1634.0,2063.0,1866.0,3777.0,432.0,893.0,558.0,466.0,404.0,822.0,1939.0,1329.0,160.0,162.0,854.0,29.0,293.0,679.0,1112.0,417.0,2165.0,402.0,1521.0,3363.0,353.0,1376.0,1092.0,926.0,311.0,1036.0,641.0,1594.0,248.0,423.0,373.0,26.0,203.0,559.0,2314.0,2073.0,922.0,1325.0,10515.0,1718.0,1597.0,1298.0,3031.0,791.0,412.0,1625.0,960.0,3005.0,1135.0,1423.0,1375.0,75.0,227.0,1101.0,915.0,592.0,267.0,601.0,3113.0,265.0,1949.0,3097.0,0.0,5776.0,1401.0,1856.0,2744.0,2485.0
dapB_3_239_B_MM9,5709.0,1306.0,3476.0,1182.0,3653.0,2515.0,10889.0,4898.0,2334.0,2049.0,2479.0,1354.0,1830.0,837.0,1141.0,1708.0,2208.0,1814.0,276.0,456.0,551.0,353.0,230.0,591.0,1962.0,263.0,325.0,46.0,810.0,89.0,309.0,480.0,1404.0,198.0,1811.0,108.0,501.0,1425.0,477.0,1948.0,519.0,834.0,292.0,1162.0,356.0,749.0,248.0,152.0,117.0,221.0,311.0,593.0,3203.0,2257.0,2304.0,968.0,6282.0,3035.0,195.0,2412.0,3512.0,571.0,68.0,1256.0,582.0,3026.0,1012.0,852.0,698.0,84.0,386.0,354.0,900.0,418.0,852.0,933.0,842.0,270.0,1004.0,1936.0,0.0,3866.0,566.0,1454.0,1357.0,781.0
dapB_3_239_C,8522.0,5866.0,2889.0,1395.0,6858.0,3936.0,2960.0,23412.0,4573.0,2432.0,1724.0,2749.0,4395.0,517.0,2704.0,2147.0,3301.0,5107.0,1119.0,831.0,895.0,669.0,814.0,1256.0,3384.0,743.0,584.0,568.0,1609.0,223.0,1014.0,361.0,1685.0,516.0,6159.0,664.0,1828.0,3565.0,851.0,1619.0,939.0,1595.0,690.0,1932.0,494.0,2029.0,337.0,116.0,452.0,343.0,439.0,1459.0,3691.0,4057.0,1777.0,1404.0,13870.0,3414.0,1888.0,1742.0,3434.0,1106.0,264.0,2307.0,521.0,4768.0,1559.0,1884.0,1314.0,120.0,58.0,1269.0,1407.0,704.0,319.0,1830.0,4958.0,1049.0,1573.0,3341.0,0.0,7145.0,949.0,2625.0,4086.0,2995.0
dapD_1_42_C,4453.0,2992.0,4316.0,1279.0,3259.0,4164.0,1765.0,4268.0,13392.0,1477.0,1367.0,1513.0,4083.0,1244.0,1339.0,1714.0,1075.0,3033.0,265.0,220.0,872.0,414.0,668.0,1058.0,2218.0,1474.0,268.0,282.0,1533.0,316.0,189.0,574.0,818.0,346.0,5324.0,82.0,1313.0,1417.0,495.0,493.0,1205.0,843.0,507.0,1612.0,163.0,1216.0,400.0,80.0,425.0,336.0,113.0,397.0,2853.0,1568.0,623.0,1141.0,6388.0,2362.0,741.0,1719.0,2419.0,994.0,114.0,824.0,568.0,3175.0,1397.0,1246.0,984.0,53.0,96.0,462.0,1067.0,921.0,360.0,1112.0,2395.0,305.0,2976.0,2304.0,0.0,3451.0,553.0,3654.0,3134.0,1197.0
dapD_1_42_MM10,1633.0,2135.0,1447.0,362.0,1825.0,823.0,1252.0,2273.0,300.0,5292.0,581.0,469.0,1483.0,244.0,628.0,739.0,1228.0,2044.0,171.0,186.0,315.0,165.0,47.0,454.0,762.0,660.0,56.0,64.0,225.0,31.0,80.0,648.0,656.0,55.0,839.0,208.0,459.0,671.0,193.0,820.0,433.0,512.0,112.0,336.0,254.0,524.0,49.0,112.0,365.0,169.0,97.0,1026.0,1099.0,1369.0,518.0,626.0,3796.0,943.0,840.0,598.0,947.0,452.0,31.0,298.0,157.0,1055.0,353.0,317.0,476.0,30.0,1008.0,250.0,1217.0,233.0,134.0,554.0,447.0,72.0,1252.0,922.0,0.0,3520.0,382.0,1005.0,1126.0,402.0
