,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,1412.0,373.0,470.0,33.0,501.0,396.0,247.0,403.0,241.0,183.0,186.0,186.0,599.0,100.0,133.0,157.0,187.0,343.0,46.0,53.0,54.0,20.0,37.0,88.0,167.0,55.0,9.0,16.0,179.0,0.0,32.0,5.0,49.0,15.0,341.0,19.0,134.0,288.0,11.0,207.0,70.0,138.0,26.0,180.0,37.0,133.0,13.0,10.0,30.0,15.0,21.0,84.0,301.0,179.0,131.0,123.0,816.0,282.0,66.0,97.0,324.0,102.0,72.0,89.0,16.0,238.0,70.0,81.0,61.0,12.0,1.0,57.0,57.0,32.0,35.0,86.0,180.0,16.0,347.0,246.0,0.0,493.0,88.0,181.0,288.0,93.0
dapA_1_98_B_MM7,214.0,970.0,234.0,40.0,284.0,271.0,177.0,171.0,216.0,57.0,66.0,119.0,214.0,36.0,190.0,172.0,136.0,192.0,14.0,17.0,37.0,11.0,12.0,51.0,90.0,38.0,3.0,4.0,83.0,1.0,4.0,17.0,42.0,9.0,298.0,7.0,70.0,160.0,9.0,132.0,99.0,54.0,12.0,121.0,4.0,72.0,14.0,9.0,34.0,28.0,14.0,25.0,135.0,110.0,15.0,117.0,426.0,125.0,47.0,46.0,169.0,179.0,90.0,52.0,5.0,104.0,27.0,19.0,26.0,2.0,21.0,34.0,99.0,21.0,21.0,61.0,133.0,11.0,152.0,203.0,0.0,218.0,39.0,170.0,212.0,57.0
dapA_1_98_B_MM9,323.0,341.0,1668.0,65.0,475.0,405.0,401.0,250.0,252.0,229.0,161.0,344.0,460.0,68.0,238.0,210.0,329.0,413.0,33.0,44.0,56.0,19.0,43.0,107.0,309.0,70.0,15.0,17.0,252.0,2.0,54.0,52.0,67.0,2.0,534.0,40.0,106.0,188.0,21.0,177.0,122.0,55.0,22.0,161.0,25.0,146.0,24.0,9.0,16.0,10.0,31.0,146.0,246.0,165.0,111.0,115.0,1417.0,178.0,56.0,136.0,332.0,228.0,34.0,98.0,20.0,362.0,41.0,43.0,77.0,0.0,0.0,42.0,77.0,41.0,22.0,88.0,214.0,24.0,308.0,239.0,0.0,471.0,59.0,97.0,237.0,135.0
dapA_1_98_C,120.0,25.0,98.0,249.0,111.0,103.0,53.0,195.0,43.0,26.0,36.0,24.0,104.0,11.0,62.0,44.0,81.0,79.0,4.0,13.0,4.0,2.0,9.0,14.0,26.0,8.0,2.0,12.0,12.0,0.0,17.0,8.0,17.0,5.0,87.0,0.0,24.0,34.0,2.0,9.0,25.0,52.0,1.0,41.0,10.0,63.0,0.0,4.0,8.0,3.0,15.0,5.0,87.0,68.0,10.0,24.0,331.0,58.0,20.0,17.0,70.0,84.0,25.0,28.0,15.0,107.0,12.0,18.0,24.0,1.0,4.0,11.0,7.0,6.0,5.0,28.0,17.0,14.0,63.0,71.0,0.0,118.0,8.0,21.0,99.0,39.0
dapB_3_239_B_MM10,446.0,243.0,437.0,101.0,1287.0,272.0,187.0,295.0,142.0,159.0,102.0,223.0,273.0,50.0,70.0,151.0,150.0,282.0,21.0,10.0,37.0,19.0,43.0,65.0,96.0,24.0,7.0,3.0,73.0,4.0,25.0,31.0,51.0,6.0,334.0,1.0,127.0,173.0,27.0,113.0,43.0,114.0,46.0,232.0,21.0,85.0,7.0,27.0,27.0,25.0,57.0,64.0,366.0,182.0,78.0,107.0,734.0,201.0,101.0,90.0,265.0,77.0,22.0,39.0,11.0,151.0,73.0,25.0,73.0,20.0,23.0,31.0,47.0,24.0,39.0,129.0,212.0,15.0,266.0,315.0,0.0,502.0,69.0,168.0,166.0,118.0
dapB_3_239_B_MM6,370.0,212.0,370.0,100.0,290.0,881.0,226.0,178.0,92.0,84.0,118.0,100.0,134.0,68.0,146.0,117.0,130.0,173.0,5.0,27.0,24.0,24.0,14.0,55.0,102.0,38.0,10.0,8.0,55.0,2.0,63.0,25.0,45.0,38.0,180.0,20.0,65.0,131.0,2.0,85.0,26.0,67.0,12.0,116.0,11.0,76.0,9.0,10.0,18.0,14.0,23.0,19.0,163.0,91.0,44.0,33.0,699.0,122.0,66.0,89.0,259.0,53.0,7.0,93.0,25.0,141.0,43.0,32.0,29.0,12.0,0.0,51.0,35.0,11.0,12.0,63.0,174.0,21.0,124.0,188.0,0.0,238.0,42.0,110.0,240.0,111.0
dapB_3_239_B_MM9,239.0,76.0,284.0,56.0,280.0,148.0,616.0,176.0,123.0,46.0,112.0,103.0,123.0,38.0,38.0,91.0,114.0,43.0,6.0,13.0,19.0,8.0,10.0,26.0,79.0,15.0,4.0,4.0,48.0,1.0,29.0,15.0,55.0,15.0,171.0,13.0,60.0,121.0,27.0,90.0,39.0,62.0,29.0,51.0,6.0,25.0,4.0,11.0,4.0,18.0,25.0,29.0,143.0,191.0,139.0,67.0,471.0,137.0,73.0,96.0,251.0,42.0,8.0,51.0,15.0,102.0,17.0,26.0,25.0,9.0,5.0,11.0,32.0,11.0,11.0,61.0,59.0,5.0,214.0,178.0,0.0,319.0,18.0,88.0,120.0,82.0
dapB_3_239_C,405.0,254.0,243.0,76.0,325.0,217.0,154.0,1049.0,76.0,89.0,137.0,119.0,279.0,39.0,118.0,140.0,129.0,128.0,14.0,3.0,16.0,36.0,41.0,36.0,155.0,48.0,12.0,34.0,51.0,4.0,40.0,59.0,104.0,35.0,444.0,5.0,111.0,186.0,30.0,123.0,58.0,123.0,61.0,104.0,45.0,121.0,2.0,8.0,33.0,18.0,11.0,28.0,168.0,159.0,73.0,82.0,690.0,191.0,87.0,109.0,205.0,96.0,27.0,108.0,7.0,138.0,34.0,28.0,60.0,2.0,20.0,51.0,36.0,12.0,25.0,80.0,170.0,35.0,141.0,195.0,0.0,265.0,67.0,168.0,376.0,116.0
dapD_1_42_C,236.0,111.0,227.0,104.0,179.0,170.0,54.0,170.0,478.0,31.0,88.0,70.0,178.0,53.0,69.0,112.0,100.0,123.0,3.0,15.0,41.0,5.0,24.0,61.0,77.0,52.0,12.0,13.0,99.0,1.0,38.0,16.0,48.0,7.0,210.0,3.0,48.0,102.0,25.0,58.0,18.0,45.0,12.0,31.0,9.0,57.0,8.0,3.0,12.0,4.0,3.0,16.0,113.0,139.0,45.0,39.0,332.0,71.0,17.0,58.0,189.0,24.0,17.0,81.0,22.0,180.0,33.0,14.0,31.0,0.0,1.0,49.0,57.0,26.0,3.0,85.0,108.0,14.0,167.0,110.0,0.0,213.0,35.0,72.0,192.0,102.0
dapD_1_42_MM10,125.0,166.0,186.0,43.0,172.0,172.0,127.0,117.0,41.0,453.0,44.0,55.0,94.0,16.0,176.0,28.0,80.0,204.0,1.0,5.0,25.0,1.0,2.0,17.0,71.0,31.0,3.0,0.0,36.0,0.0,11.0,15.0,22.0,2.0,126.0,3.0,139.0,79.0,8.0,74.0,34.0,29.0,13.0,43.0,28.0,14.0,1.0,11.0,2.0,1.0,9.0,130.0,171.0,81.0,48.0,23.0,421.0,54.0,26.0,58.0,105.0,6.0,0.0,23.0,5.0,127.0,14.0,4.0,9.0,12.0,23.0,10.0,20.0,12.0,0.0,29.0,59.0,12.0,116.0,84.0,0.0,258.0,59.0,54.0,177.0,54.0
