,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapB_3_239_B_MM10,dapB_3_239_B_MM6,dapB_3_239_B_MM9,dapB_3_239_C,dapD_1_42_C,dapD_1_42_MM10,dapD_1_42_MM4,dapD_1_42_MM6,dapD_1_42_MM8,dapF_1_79_C,dapF_1_79_MM10,dapF_1_79_MM4,dapF_1_79_MM6,dapF_1_79_MM8,dnaB_1_16_B_MM4,dnaB_1_16_B_MM6,dnaB_1_16_B_MM8,dnaB_1_16_C,dnaE_1_10_B_MM10,dnaE_1_10_B_MM5,dnaE_1_10_B_MM8,dnaE_1_10_C,dnaX_1_33_B_MM3,dnaX_1_33_B_MM6,dnaX_1_33_B_MM9,dnaX_1_33_C,eno_3_219_B_MM10,eno_3_219_B_MM5,eno_3_219_B_MM8,eno_3_219_C,fake_negC_rand_42,fbaA_1_28_B_MM5,fbaA_1_28_B_MM7,fbaA_1_28_B_MM9,fbaA_1_28_C,gapA_1_33_B_MM10,gapA_1_33_B_MM5,gapA_1_33_B_MM8,gapA_1_33_C,holB_3_220_B_MM10,holB_3_220_B_MM5,holB_3_220_B_MM9,holB_3_220_C,ligA_1_82_B_MM5,ligA_1_82_B_MM7,ligA_1_82_B_MM9,ligA_1_82_C,negC_rand_42,parE_1_26_B_MM10,parE_1_26_B_MM5,parE_1_26_B_MM8,parE_1_26_C,pfkA_1_43_B_MM10,pfkA_1_43_B_MM5,pfkA_1_43_B_MM9,pfkA_1_43_C,pgi_3_279_B_MM10,pgi_3_279_B_MM5,pgi_3_279_B_MM8,pgi_3_279_C,purD_1_47_C,purD_1_47_MM10,purD_1_47_MM4,purD_1_47_MM6,purD_1_47_MM8,purF_1_23_C,purF_1_23_MM10,purF_1_23_MM4,purF_1_23_MM6,purF_1_23_MM8,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purN_3_238_B_MM10,purN_3_238_B_MM5,purN_3_238_B_MM8,purN_3_238_C,tpiA_1_45_B_MM10,tpiA_1_45_B_MM4,tpiA_1_45_B_MM7,tpiA_1_45_C
dapA_1_98_B_MM3,23545.0,4687.0,9197.0,682.0,7355.0,6976.0,6959.0,6040.0,2537.0,3510.0,3808.0,1511.0,8383.0,2301.0,3112.0,2129.0,1219.0,5824.0,70.0,246.0,312.0,314.0,244.0,1432.0,1733.0,656.0,51.0,156.0,2119.0,36.0,1619.0,230.0,490.0,465.0,6057.0,160.0,1386.0,1655.0,125.0,2922.0,659.0,1871.0,261.0,3123.0,556.0,1781.0,117.0,449.0,135.0,52.0,157.0,1633.0,3229.0,1888.0,570.0,1654.0,11764.0,2925.0,912.0,1938.0,2709.0,2344.0,576.0,517.0,311.0,3488.0,471.0,1000.0,435.0,48.0,167.0,547.0,863.0,315.0,483.0,1957.0,3078.0,127.0,5817.0,1888.0,0.0,7244.0,876.0,1808.0,3630.0,1608.0
dapA_1_98_B_MM7,2684.0,17237.0,3259.0,530.0,4574.0,2167.0,2903.0,2317.0,1439.0,723.0,1040.0,2367.0,2635.0,406.0,3872.0,1213.0,4282.0,4511.0,60.0,59.0,599.0,83.0,216.0,387.0,1940.0,351.0,54.0,170.0,524.0,4.0,195.0,150.0,534.0,20.0,3308.0,156.0,866.0,2501.0,129.0,532.0,1514.0,785.0,258.0,2384.0,115.0,647.0,105.0,278.0,213.0,126.0,233.0,790.0,2460.0,1128.0,310.0,439.0,9392.0,794.0,1097.0,961.0,2230.0,1881.0,771.0,521.0,21.0,1536.0,304.0,303.0,397.0,227.0,327.0,198.0,707.0,164.0,164.0,844.0,2742.0,235.0,5658.0,1892.0,0.0,2573.0,466.0,1491.0,914.0,440.0
dapA_1_98_B_MM9,5748.0,2056.0,34763.0,1025.0,6933.0,6521.0,6914.0,1822.0,2070.0,2414.0,1688.0,2905.0,5527.0,2153.0,2717.0,4573.0,8088.0,8212.0,190.0,445.0,470.0,246.0,330.0,1183.0,3429.0,645.0,90.0,26.0,6125.0,65.0,1348.0,388.0,1047.0,189.0,6067.0,194.0,1261.0,487.0,79.0,2561.0,1576.0,975.0,91.0,3352.0,86.0,1033.0,68.0,456.0,251.0,226.0,412.0,3194.0,4092.0,2193.0,266.0,1340.0,21327.0,1766.0,527.0,1236.0,4660.0,2410.0,178.0,1440.0,191.0,9824.0,623.0,618.0,465.0,251.0,85.0,435.0,708.0,697.0,259.0,1014.0,2775.0,338.0,7546.0,2232.0,0.0,8793.0,888.0,1241.0,3472.0,738.0
dapA_1_98_C,1298.0,1101.0,319.0,3782.0,2298.0,1203.0,1350.0,1804.0,786.0,535.0,192.0,90.0,1405.0,204.0,439.0,721.0,1584.0,1004.0,88.0,116.0,17.0,74.0,47.0,237.0,419.0,104.0,33.0,26.0,555.0,5.0,33.0,259.0,550.0,12.0,1289.0,20.0,438.0,142.0,32.0,68.0,318.0,413.0,78.0,740.0,30.0,456.0,2.0,10.0,125.0,58.0,14.0,356.0,1065.0,619.0,368.0,148.0,7568.0,1579.0,198.0,436.0,705.0,404.0,90.0,206.0,88.0,1689.0,179.0,149.0,249.0,69.0,138.0,155.0,155.0,71.0,93.0,309.0,587.0,13.0,1158.0,844.0,0.0,2300.0,143.0,68.0,757.0,378.0
dapB_3_239_B_MM10,8543.0,8025.0,8246.0,2187.0,18257.0,3727.0,4184.0,2830.0,898.0,3329.0,855.0,1940.0,1348.0,879.0,2006.0,1212.0,2435.0,4366.0,173.0,125.0,71.0,106.0,184.0,884.0,1349.0,532.0,64.0,98.0,1412.0,41.0,244.0,469.0,672.0,312.0,2823.0,19.0,1489.0,2395.0,109.0,1217.0,936.0,1820.0,330.0,6443.0,326.0,806.0,51.0,50.0,165.0,144.0,475.0,1334.0,6734.0,2180.0,959.0,1557.0,8443.0,3630.0,459.0,1420.0,1275.0,806.0,219.0,182.0,66.0,2781.0,586.0,616.0,258.0,83.0,597.0,1124.0,621.0,319.0,290.0,3343.0,3256.0,257.0,4406.0,3739.0,0.0,7822.0,182.0,1822.0,1758.0,758.0
dapB_3_239_B_MM6,6747.0,2941.0,9624.0,1555.0,4455.0,11837.0,1932.0,2781.0,1009.0,1534.0,957.0,534.0,1869.0,528.0,1037.0,1383.0,2725.0,2266.0,80.0,216.0,171.0,106.0,340.0,572.0,1245.0,874.0,84.0,163.0,880.0,109.0,781.0,403.0,198.0,223.0,2455.0,35.0,1187.0,757.0,81.0,1295.0,1335.0,1786.0,233.0,1619.0,268.0,867.0,13.0,49.0,155.0,82.0,311.0,505.0,761.0,2134.0,563.0,891.0,7882.0,1785.0,1827.0,1583.0,1643.0,1034.0,276.0,1153.0,167.0,1611.0,376.0,169.0,253.0,60.0,23.0,1269.0,392.0,151.0,332.0,947.0,2319.0,538.0,1615.0,2733.0,0.0,2200.0,359.0,848.0,1863.0,432.0
dapB_3_239_B_MM9,3914.0,1467.0,4411.0,1166.0,1693.0,1129.0,9975.0,3115.0,1279.0,1002.0,560.0,990.0,1650.0,372.0,879.0,498.0,1080.0,1163.0,153.0,67.0,348.0,96.0,89.0,220.0,1442.0,296.0,33.0,8.0,1128.0,4.0,234.0,127.0,1642.0,280.0,2063.0,10.0,478.0,1993.0,254.0,800.0,277.0,617.0,49.0,1379.0,136.0,591.0,65.0,95.0,129.0,136.0,312.0,458.0,1275.0,1061.0,305.0,801.0,5963.0,2120.0,619.0,1597.0,4338.0,1021.0,416.0,558.0,61.0,1223.0,191.0,197.0,145.0,167.0,144.0,328.0,185.0,278.0,151.0,1008.0,977.0,181.0,2078.0,1610.0,0.0,5059.0,113.0,1203.0,1210.0,852.0
dapB_3_239_C,6656.0,3181.0,3837.0,2907.0,3200.0,3154.0,1164.0,11558.0,1012.0,1620.0,1852.0,1091.0,1977.0,493.0,2293.0,1293.0,1701.0,1696.0,237.0,192.0,326.0,268.0,177.0,596.0,1132.0,386.0,121.0,42.0,876.0,26.0,195.0,132.0,1305.0,53.0,3975.0,72.0,1623.0,2946.0,271.0,1311.0,1532.0,1518.0,300.0,2530.0,234.0,780.0,61.0,18.0,260.0,214.0,202.0,485.0,1741.0,1267.0,475.0,804.0,7282.0,2445.0,2159.0,1292.0,3079.0,1980.0,119.0,933.0,32.0,1771.0,324.0,205.0,495.0,277.0,142.0,378.0,465.0,410.0,438.0,831.0,3897.0,172.0,1181.0,2186.0,0.0,4763.0,1346.0,2238.0,2714.0,1322.0
dapD_1_42_C,1129.0,1381.0,1478.0,743.0,1754.0,3098.0,307.0,961.0,7100.0,439.0,1425.0,449.0,1860.0,821.0,662.0,1207.0,752.0,2404.0,41.0,114.0,104.0,42.0,166.0,423.0,930.0,436.0,69.0,57.0,2465.0,3.0,192.0,274.0,432.0,59.0,1569.0,101.0,377.0,343.0,44.0,2881.0,108.0,551.0,159.0,942.0,110.0,1007.0,116.0,63.0,186.0,45.0,35.0,263.0,1646.0,529.0,483.0,433.0,5550.0,807.0,728.0,703.0,2024.0,301.0,516.0,874.0,62.0,2615.0,274.0,312.0,404.0,153.0,145.0,539.0,812.0,307.0,23.0,2263.0,1435.0,473.0,2499.0,739.0,0.0,2762.0,71.0,625.0,2104.0,1722.0
dapD_1_42_MM10,2541.0,1431.0,3033.0,742.0,2339.0,815.0,817.0,1256.0,371.0,12380.0,543.0,938.0,740.0,579.0,708.0,386.0,611.0,2325.0,31.0,72.0,573.0,139.0,165.0,258.0,748.0,837.0,30.0,70.0,513.0,2.0,179.0,81.0,563.0,38.0,307.0,10.0,2027.0,416.0,22.0,652.0,476.0,107.0,99.0,431.0,201.0,335.0,14.0,82.0,141.0,28.0,12.0,182.0,3879.0,329.0,83.0,418.0,7466.0,683.0,223.0,686.0,1683.0,106.0,24.0,320.0,107.0,3630.0,112.0,119.0,244.0,13.0,79.0,63.0,156.0,112.0,40.0,345.0,1025.0,165.0,5627.0,1569.0,0.0,5774.0,267.0,428.0,2063.0,393.0
