,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,1614.0,1161.0,1215.0,809.0,252.0,688.0,388.0,782.0,729.0,817.0,467.0,656.0,616.0,804.0,695.0,208.0,404.0,480.0,560.0,760.0,430.0,777.0,182.0,291.0,715.0,2851.0,1236.0,875.0,602.0,1221.0,1190.0,1082.0,358.0,364.0,1414.0,180.0,15.0,122.0,89.0,56.0,565.0,334.0,643.0,591.0,581.0,373.0,284.0,505.0,411.0,680.0,406.0,188.0,354.0,863.0,708.0,777.0,517.0,843.0,281.0,467.0,232.0,549.0,221.0,477.0,157.0,854.0,652.0,636.0,372.0,366.0,381.0,639.0,403.0,631.0,341.0,233.0,461.0,925.0,491.0,445.0,215.0,632.0,346.0,362.0,315.0,919.0,661.0,1253.0,716.0,1904.0,755.0,1271.0,856.0,282.0,757.0,180.0,841.0,966.0,581.0,661.0,1250.0
dapA_1_98_B_MM3,736.0,3456.0,2489.0,751.0,676.0,1103.0,873.0,913.0,932.0,1561.0,741.0,1252.0,974.0,2066.0,1247.0,672.0,291.0,396.0,821.0,862.0,629.0,1226.0,129.0,741.0,685.0,2198.0,1670.0,2163.0,1039.0,1071.0,846.0,2008.0,448.0,1043.0,1418.0,67.0,60.0,457.0,286.0,195.0,563.0,562.0,815.0,726.0,645.0,569.0,426.0,561.0,590.0,566.0,360.0,243.0,621.0,1730.0,1217.0,1490.0,969.0,646.0,610.0,680.0,208.0,873.0,428.0,453.0,194.0,2356.0,396.0,1222.0,463.0,378.0,598.0,548.0,2044.0,1597.0,219.0,998.0,423.0,1189.0,556.0,582.0,255.0,363.0,79.0,380.0,448.0,2094.0,1032.0,2394.0,1163.0,1638.0,1875.0,1328.0,1097.0,911.0,499.0,73.0,1786.0,1036.0,1024.0,983.0,753.0
dapA_1_98_B_MM7,1177.0,1021.0,5726.0,1717.0,1063.0,712.0,1006.0,2024.0,839.0,1624.0,805.0,1804.0,1949.0,1379.0,1205.0,553.0,568.0,680.0,978.0,863.0,754.0,1894.0,489.0,472.0,886.0,3436.0,2071.0,1672.0,1469.0,1648.0,1619.0,2333.0,666.0,1084.0,1685.0,181.0,148.0,1457.0,274.0,577.0,618.0,742.0,475.0,1076.0,908.0,487.0,493.0,710.0,1334.0,1044.0,483.0,376.0,807.0,1252.0,1493.0,1091.0,1690.0,1406.0,853.0,950.0,535.0,523.0,531.0,553.0,608.0,2120.0,1073.0,1367.0,446.0,528.0,636.0,813.0,1516.0,1669.0,293.0,783.0,1068.0,1272.0,686.0,700.0,345.0,971.0,151.0,95.0,557.0,2075.0,1542.0,2362.0,821.0,2154.0,1761.0,1250.0,1447.0,575.0,1695.0,344.0,1829.0,925.0,882.0,951.0,1498.0
dapA_1_98_B_MM9,1036.0,484.0,1292.0,2661.0,632.0,2495.0,649.0,842.0,749.0,891.0,648.0,1165.0,1355.0,857.0,766.0,366.0,745.0,423.0,1054.0,445.0,519.0,1066.0,455.0,397.0,620.0,1738.0,1345.0,1537.0,723.0,687.0,708.0,1037.0,386.0,1377.0,1316.0,235.0,94.0,368.0,233.0,1109.0,546.0,532.0,582.0,786.0,486.0,629.0,371.0,490.0,457.0,414.0,378.0,242.0,382.0,1449.0,1320.0,993.0,1509.0,382.0,441.0,731.0,384.0,611.0,192.0,373.0,150.0,1308.0,407.0,799.0,969.0,886.0,621.0,685.0,924.0,1132.0,611.0,730.0,407.0,1573.0,442.0,629.0,620.0,353.0,128.0,161.0,264.0,1672.0,1385.0,1598.0,1406.0,1438.0,1133.0,1121.0,1129.0,807.0,664.0,362.0,1945.0,803.0,764.0,524.0,958.0
dapA_1_98_C,246.0,909.0,1234.0,547.0,2547.0,571.0,768.0,842.0,453.0,690.0,493.0,924.0,946.0,1006.0,778.0,1001.0,359.0,178.0,947.0,604.0,416.0,1048.0,159.0,171.0,335.0,2127.0,1157.0,983.0,390.0,359.0,608.0,1016.0,193.0,708.0,1574.0,62.0,203.0,130.0,197.0,381.0,150.0,651.0,465.0,637.0,772.0,446.0,391.0,297.0,294.0,591.0,201.0,142.0,503.0,1072.0,731.0,461.0,686.0,727.0,721.0,215.0,248.0,491.0,185.0,193.0,426.0,1125.0,237.0,651.0,611.0,758.0,494.0,311.0,579.0,1149.0,384.0,688.0,741.0,782.0,298.0,437.0,347.0,682.0,99.0,336.0,414.0,1169.0,610.0,1459.0,780.0,690.0,1685.0,751.0,753.0,391.0,478.0,51.0,751.0,513.0,569.0,446.0,1009.0
dapA_1_98_W_MM1,1281.0,568.0,1937.0,1164.0,717.0,3132.0,728.0,947.0,511.0,2021.0,595.0,1157.0,1551.0,1171.0,1665.0,870.0,516.0,203.0,1043.0,732.0,594.0,1596.0,344.0,369.0,1306.0,3457.0,2134.0,2117.0,1177.0,682.0,667.0,2891.0,460.0,435.0,1904.0,75.0,458.0,600.0,174.0,244.0,523.0,505.0,948.0,1376.0,634.0,356.0,350.0,727.0,536.0,698.0,355.0,208.0,523.0,1447.0,1154.0,709.0,1054.0,1530.0,755.0,714.0,559.0,712.0,223.0,233.0,197.0,1522.0,460.0,982.0,334.0,657.0,502.0,662.0,1081.0,2132.0,567.0,1176.0,421.0,741.0,753.0,436.0,993.0,491.0,196.0,468.0,179.0,1920.0,737.0,1284.0,667.0,1499.0,3185.0,1040.0,2072.0,784.0,2764.0,185.0,2583.0,1687.0,1183.0,1000.0,1439.0
dapA_3_214_B_MM14,448.0,872.0,840.0,1108.0,743.0,1072.0,2651.0,630.0,583.0,964.0,745.0,971.0,848.0,883.0,542.0,361.0,239.0,533.0,957.0,757.0,786.0,747.0,335.0,524.0,266.0,2430.0,1258.0,1686.0,714.0,1101.0,1168.0,1255.0,199.0,663.0,1121.0,185.0,108.0,304.0,155.0,164.0,188.0,496.0,446.0,681.0,528.0,443.0,470.0,378.0,368.0,491.0,317.0,77.0,702.0,1635.0,805.0,1004.0,898.0,670.0,411.0,435.0,389.0,493.0,251.0,92.0,214.0,1307.0,518.0,705.0,596.0,529.0,173.0,796.0,845.0,1081.0,416.0,636.0,419.0,627.0,656.0,293.0,107.0,730.0,373.0,241.0,267.0,1078.0,1428.0,1028.0,931.0,1416.0,973.0,967.0,1038.0,445.0,871.0,187.0,417.0,1106.0,1058.0,250.0,1072.0
dapA_3_214_B_MM6,937.0,1556.0,1355.0,741.0,827.0,1634.0,1047.0,3670.0,722.0,1909.0,798.0,1654.0,1875.0,2441.0,1730.0,605.0,459.0,389.0,836.0,806.0,613.0,2168.0,590.0,464.0,1442.0,3542.0,1374.0,4478.0,835.0,1047.0,1543.0,2313.0,616.0,2136.0,2372.0,405.0,358.0,272.0,159.0,82.0,676.0,229.0,1139.0,956.0,557.0,664.0,757.0,924.0,1306.0,722.0,641.0,194.0,716.0,1762.0,1129.0,1380.0,2024.0,1676.0,580.0,1056.0,772.0,720.0,306.0,500.0,179.0,1801.0,1455.0,1058.0,855.0,574.0,798.0,911.0,1266.0,2009.0,478.0,950.0,654.0,1599.0,908.0,513.0,767.0,1176.0,444.0,695.0,436.0,2353.0,1368.0,3677.0,1713.0,2427.0,1431.0,1751.0,1177.0,764.0,1394.0,658.0,2511.0,1341.0,1870.0,1095.0,1634.0
dapA_3_214_B_MM9,353.0,589.0,602.0,986.0,637.0,798.0,567.0,878.0,2504.0,1130.0,753.0,908.0,943.0,1239.0,722.0,398.0,163.0,292.0,997.0,364.0,270.0,494.0,216.0,324.0,491.0,1330.0,917.0,1435.0,676.0,737.0,734.0,1351.0,349.0,889.0,1358.0,98.0,200.0,263.0,214.0,256.0,168.0,255.0,580.0,920.0,260.0,408.0,403.0,564.0,454.0,341.0,472.0,191.0,181.0,827.0,623.0,818.0,921.0,509.0,515.0,536.0,454.0,510.0,78.0,387.0,224.0,1194.0,195.0,746.0,848.0,594.0,156.0,614.0,703.0,971.0,269.0,684.0,267.0,524.0,254.0,211.0,289.0,208.0,144.0,213.0,321.0,886.0,952.0,1623.0,554.0,1083.0,1112.0,866.0,643.0,413.0,385.0,5.0,1519.0,504.0,739.0,197.0,747.0
dapA_3_214_C,1066.0,1482.0,1928.0,1076.0,856.0,1678.0,975.0,2387.0,727.0,5345.0,2556.0,2138.0,2088.0,1710.0,2267.0,616.0,751.0,440.0,1588.0,1632.0,1029.0,1266.0,606.0,712.0,939.0,3193.0,2318.0,3098.0,950.0,1181.0,997.0,1488.0,1230.0,965.0,1410.0,377.0,116.0,420.0,174.0,95.0,605.0,589.0,1460.0,1019.0,947.0,670.0,447.0,1251.0,652.0,1190.0,705.0,256.0,610.0,1847.0,1182.0,1020.0,1537.0,1552.0,659.0,895.0,490.0,346.0,148.0,284.0,256.0,3058.0,477.0,1202.0,388.0,1188.0,418.0,550.0,812.0,2185.0,691.0,709.0,880.0,1005.0,901.0,789.0,461.0,768.0,406.0,545.0,587.0,2519.0,1161.0,3076.0,1714.0,1518.0,2054.0,2230.0,1454.0,834.0,1903.0,75.0,1656.0,1343.0,2176.0,1473.0,1365.0
