,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,4100.0,245.0,1470.0,1724.0,143.0,164.0,6268.0,390.0,655.0,392.0,6.0,226.0,551.0,1050.0,518.0,315.0,1139.0,150.0,122.0,46.0,2529.0,2864.0,1671.0,1422.0,778.0,5977.0,7163.0,5904.0,0.0,0.0,1.0,42.0,0.0,1663.0,38.0,475.0,1.0,1601.0,371.0,769.0,1867.0,679.0,2376.0,1672.0,585.0,39.0,658.0,529.0,811.0,458.0,138.0,176.0,333.0,1753.0,1079.0,1249.0,911.0,964.0,41.0,680.0,869.0,129.0,20.0,0.0,1.0,5273.0,437.0,2426.0,190.0,1272.0,2618.0,186.0,29.0,281.0,0.0,972.0,805.0,721.0,84.0,0.0,0.0,1261.0,61.0,97.0,0.0,1240.0,4919.0,3548.0,616.0,1273.0,383.0,4.0,1569.0,1207.0,35.0,73.0,260.0,741.0,6881.0,3715.0,0.0
dapA_1_98_B_MM3,145.0,1054.0,889.0,1484.0,66.0,279.0,1150.0,182.0,118.0,309.0,76.0,1075.0,632.0,709.0,711.0,362.0,394.0,436.0,761.0,631.0,1.0,239.0,0.0,56.0,854.0,1997.0,1384.0,1440.0,0.0,0.0,84.0,0.0,0.0,508.0,236.0,0.0,6.0,156.0,126.0,39.0,329.0,593.0,409.0,133.0,426.0,52.0,120.0,138.0,15.0,341.0,43.0,0.0,187.0,389.0,274.0,533.0,586.0,418.0,106.0,439.0,376.0,193.0,8.0,42.0,0.0,1104.0,237.0,830.0,114.0,299.0,509.0,0.0,72.0,546.0,0.0,515.0,287.0,224.0,430.0,40.0,147.0,156.0,0.0,0.0,0.0,1473.0,663.0,524.0,137.0,948.0,166.0,76.0,221.0,202.0,164.0,0.0,131.0,102.0,887.0,420.0,0.0
dapA_1_98_B_MM7,1270.0,474.0,3365.0,1005.0,170.0,166.0,948.0,140.0,469.0,340.0,186.0,461.0,1489.0,1047.0,839.0,442.0,639.0,753.0,254.0,379.0,760.0,2573.0,302.0,402.0,1630.0,4351.0,2298.0,2943.0,117.0,12.0,0.0,309.0,0.0,687.0,172.0,547.0,0.0,447.0,272.0,532.0,548.0,227.0,345.0,318.0,298.0,311.0,229.0,182.0,2.0,870.0,136.0,43.0,15.0,1393.0,1069.0,1003.0,545.0,435.0,640.0,813.0,239.0,64.0,67.0,55.0,0.0,2284.0,65.0,2085.0,337.0,457.0,843.0,0.0,462.0,434.0,0.0,637.0,347.0,1302.0,78.0,2.0,8.0,329.0,0.0,86.0,39.0,1696.0,864.0,1710.0,1450.0,786.0,28.0,170.0,146.0,134.0,0.0,0.0,57.0,506.0,2369.0,1516.0,153.0
dapA_1_98_B_MM9,1304.0,1441.0,1642.0,4760.0,184.0,330.0,2520.0,339.0,6.0,261.0,5.0,1041.0,694.0,1762.0,238.0,410.0,1715.0,189.0,335.0,420.0,1135.0,5276.0,284.0,1411.0,2100.0,6363.0,9844.0,7391.0,0.0,0.0,1.0,0.0,54.0,1304.0,139.0,624.0,1.0,689.0,403.0,742.0,2581.0,197.0,954.0,442.0,406.0,94.0,327.0,483.0,3.0,511.0,592.0,1.0,428.0,2924.0,2299.0,1888.0,1584.0,1377.0,508.0,2071.0,648.0,212.0,0.0,60.0,23.0,4413.0,339.0,644.0,129.0,586.0,2000.0,60.0,334.0,469.0,0.0,777.0,1144.0,1218.0,385.0,6.0,24.0,915.0,0.0,60.0,0.0,2004.0,3481.0,3872.0,293.0,1635.0,147.0,126.0,826.0,504.0,84.0,0.0,397.0,1419.0,3644.0,3123.0,18.0
dapA_1_98_C,181.0,121.0,134.0,10.0,291.0,41.0,611.0,148.0,37.0,0.0,0.0,303.0,180.0,23.0,576.0,18.0,3.0,4.0,39.0,89.0,416.0,386.0,0.0,0.0,159.0,329.0,317.0,141.0,0.0,0.0,0.0,49.0,0.0,158.0,20.0,19.0,0.0,192.0,0.0,46.0,133.0,179.0,15.0,262.0,183.0,234.0,0.0,32.0,124.0,21.0,60.0,20.0,83.0,20.0,31.0,43.0,13.0,41.0,117.0,52.0,118.0,53.0,0.0,20.0,0.0,5.0,3.0,161.0,188.0,3.0,103.0,71.0,80.0,180.0,0.0,10.0,0.0,380.0,569.0,9.0,0.0,20.0,1.0,104.0,0.0,285.0,2.0,226.0,2.0,303.0,186.0,121.0,372.0,121.0,0.0,1.0,60.0,213.0,229.0,496.0,2.0
dapA_1_98_W_MM1,60.0,24.0,754.0,142.0,76.0,361.0,285.0,66.0,270.0,189.0,42.0,699.0,203.0,350.0,346.0,109.0,48.0,117.0,113.0,326.0,384.0,261.0,0.0,142.0,206.0,424.0,1148.0,894.0,0.0,48.0,0.0,0.0,0.0,148.0,0.0,2.0,2.0,1.0,12.0,54.0,178.0,1.0,20.0,82.0,16.0,46.0,15.0,215.0,2.0,46.0,120.0,28.0,1.0,229.0,63.0,380.0,91.0,69.0,218.0,468.0,672.0,39.0,44.0,236.0,95.0,445.0,0.0,397.0,171.0,3.0,35.0,107.0,230.0,480.0,0.0,209.0,27.0,400.0,67.0,9.0,0.0,35.0,51.0,0.0,121.0,296.0,357.0,336.0,30.0,513.0,485.0,34.0,115.0,190.0,0.0,0.0,3.0,343.0,746.0,344.0,23.0
dapA_3_214_B_MM14,3948.0,705.0,487.0,2680.0,85.0,141.0,10558.0,599.0,1866.0,417.0,214.0,792.0,1461.0,2899.0,693.0,85.0,1415.0,191.0,320.0,404.0,2560.0,6663.0,539.0,2189.0,2665.0,11694.0,7369.0,11520.0,0.0,0.0,0.0,423.0,0.0,1933.0,53.0,748.0,0.0,2633.0,455.0,1533.0,1463.0,785.0,2119.0,1013.0,709.0,383.0,1107.0,1132.0,3935.0,1501.0,648.0,514.0,1670.0,4300.0,3082.0,2096.0,1273.0,2058.0,1079.0,1287.0,381.0,285.0,2.0,1.0,0.0,3856.0,251.0,2537.0,403.0,2202.0,4190.0,137.0,311.0,494.0,1.0,1449.0,1916.0,1633.0,939.0,0.0,1.0,2391.0,0.0,203.0,0.0,2316.0,6352.0,7725.0,862.0,2934.0,486.0,217.0,2922.0,5362.0,38.0,0.0,97.0,2795.0,12728.0,10015.0,5.0
dapA_3_214_B_MM6,43.0,311.0,177.0,385.0,214.0,137.0,645.0,1751.0,1783.0,437.0,451.0,1421.0,1702.0,606.0,719.0,205.0,35.0,169.0,484.0,339.0,334.0,298.0,2.0,153.0,383.0,1157.0,865.0,1273.0,12.0,18.0,0.0,106.0,73.0,975.0,177.0,25.0,0.0,70.0,77.0,46.0,133.0,14.0,555.0,503.0,182.0,33.0,42.0,48.0,47.0,53.0,234.0,0.0,207.0,407.0,218.0,217.0,153.0,446.0,298.0,749.0,540.0,80.0,54.0,15.0,0.0,1529.0,781.0,842.0,232.0,120.0,117.0,27.0,282.0,399.0,19.0,519.0,262.0,992.0,92.0,4.0,32.0,49.0,0.0,151.0,0.0,1536.0,922.0,916.0,282.0,1392.0,84.0,378.0,276.0,140.0,0.0,0.0,86.0,314.0,1361.0,924.0,0.0
dapA_3_214_B_MM9,332.0,84.0,408.0,211.0,68.0,126.0,366.0,1018.0,970.0,743.0,756.0,500.0,820.0,428.0,576.0,485.0,73.0,239.0,710.0,271.0,366.0,1024.0,10.0,157.0,803.0,2079.0,976.0,1616.0,4.0,1.0,0.0,1.0,0.0,368.0,225.0,79.0,0.0,136.0,66.0,48.0,12.0,14.0,661.0,94.0,92.0,578.0,80.0,335.0,87.0,431.0,135.0,1.0,390.0,208.0,170.0,433.0,450.0,67.0,566.0,320.0,325.0,70.0,55.0,146.0,2.0,236.0,543.0,983.0,173.0,235.0,171.0,0.0,0.0,219.0,7.0,535.0,742.0,1103.0,227.0,2.0,29.0,44.0,52.0,36.0,4.0,1107.0,777.0,886.0,550.0,1781.0,317.0,268.0,251.0,167.0,0.0,0.0,1.0,105.0,477.0,352.0,28.0
dapA_3_214_C,646.0,307.0,181.0,56.0,200.0,236.0,34.0,698.0,792.0,1547.0,555.0,567.0,860.0,912.0,415.0,45.0,270.0,336.0,129.0,147.0,266.0,257.0,52.0,49.0,118.0,940.0,1072.0,1310.0,0.0,0.0,1.0,0.0,0.0,559.0,89.0,23.0,1.0,141.0,144.0,1.0,208.0,48.0,77.0,224.0,12.0,657.0,0.0,107.0,48.0,234.0,124.0,28.0,135.0,334.0,117.0,475.0,985.0,225.0,374.0,259.0,388.0,7.0,213.0,27.0,0.0,1465.0,216.0,101.0,389.0,237.0,199.0,41.0,539.0,886.0,0.0,173.0,656.0,664.0,308.0,0.0,45.0,58.0,50.0,27.0,21.0,819.0,789.0,381.0,358.0,198.0,209.0,305.0,387.0,232.0,0.0,0.0,54.0,529.0,676.0,841.0,8.0
