,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,318.0,44.0,70.0,132.0,1.0,13.0,164.0,10.0,21.0,13.0,1.0,28.0,39.0,36.0,14.0,11.0,31.0,2.0,0.0,1.0,103.0,132.0,14.0,34.0,65.0,276.0,287.0,271.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0,52.0,0.0,75.0,14.0,22.0,86.0,45.0,131.0,61.0,32.0,4.0,21.0,11.0,6.0,20.0,7.0,17.0,9.0,175.0,38.0,40.0,41.0,41.0,11.0,119.0,10.0,0.0,1.0,1.0,0.0,200.0,36.0,97.0,4.0,29.0,106.0,1.0,2.0,32.0,1.0,105.0,45.0,78.0,10.0,0.0,1.0,41.0,0.0,1.0,0.0,121.0,110.0,131.0,16.0,135.0,16.0,2.0,46.0,112.0,1.0,2.0,4.0,20.0,210.0,152.0,3.0
dapA_1_98_B_MM3,5.0,51.0,55.0,28.0,0.0,13.0,20.0,9.0,3.0,10.0,9.0,11.0,13.0,28.0,19.0,26.0,2.0,16.0,46.0,15.0,16.0,25.0,2.0,0.0,33.0,84.0,75.0,59.0,0.0,0.0,18.0,0.0,1.0,24.0,1.0,0.0,0.0,2.0,4.0,2.0,10.0,5.0,12.0,18.0,53.0,2.0,10.0,3.0,0.0,5.0,3.0,0.0,12.0,18.0,7.0,28.0,6.0,38.0,1.0,38.0,6.0,0.0,0.0,1.0,0.0,58.0,8.0,36.0,6.0,8.0,46.0,0.0,8.0,13.0,0.0,10.0,8.0,26.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,62.0,16.0,36.0,8.0,17.0,4.0,0.0,52.0,10.0,1.0,0.0,6.0,5.0,40.0,38.0,1.0
dapA_1_98_B_MM7,80.0,25.0,188.0,132.0,15.0,3.0,65.0,6.0,40.0,33.0,3.0,16.0,59.0,33.0,61.0,21.0,24.0,27.0,8.0,10.0,18.0,99.0,2.0,5.0,49.0,238.0,115.0,191.0,3.0,0.0,0.0,3.0,0.0,50.0,5.0,1.0,4.0,14.0,11.0,36.0,26.0,9.0,8.0,10.0,16.0,24.0,7.0,31.0,32.0,8.0,35.0,3.0,3.0,66.0,58.0,36.0,51.0,26.0,25.0,49.0,21.0,6.0,3.0,2.0,1.0,178.0,17.0,71.0,36.0,18.0,30.0,12.0,17.0,20.0,0.0,75.0,22.0,36.0,7.0,0.0,1.0,6.0,0.0,1.0,0.0,65.0,80.0,75.0,28.0,51.0,8.0,5.0,47.0,4.0,0.0,0.0,3.0,7.0,109.0,51.0,2.0
dapA_1_98_B_MM9,98.0,21.0,44.0,201.0,4.0,20.0,141.0,46.0,5.0,5.0,0.0,37.0,35.0,31.0,8.0,9.0,80.0,15.0,14.0,11.0,70.0,144.0,27.0,39.0,39.0,231.0,291.0,356.0,0.0,0.0,2.0,0.0,0.0,98.0,2.0,8.0,0.0,55.0,25.0,79.0,93.0,1.0,50.0,63.0,15.0,3.0,77.0,6.0,5.0,8.0,9.0,4.0,10.0,63.0,59.0,132.0,138.0,64.0,39.0,62.0,31.0,1.0,1.0,4.0,0.0,217.0,9.0,57.0,19.0,45.0,59.0,0.0,2.0,2.0,0.0,47.0,23.0,42.0,7.0,0.0,0.0,18.0,0.0,0.0,23.0,156.0,258.0,121.0,72.0,85.0,13.0,2.0,35.0,20.0,1.0,0.0,9.0,64.0,157.0,253.0,0.0
dapA_1_98_C,0.0,10.0,22.0,4.0,33.0,5.0,16.0,1.0,6.0,6.0,0.0,9.0,12.0,20.0,16.0,2.0,0.0,1.0,21.0,1.0,6.0,22.0,0.0,1.0,4.0,18.0,18.0,8.0,4.0,0.0,0.0,12.0,0.0,4.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,13.0,0.0,3.0,2.0,56.0,6.0,0.0,57.0,1.0,2.0,1.0,1.0,1.0,2.0,26.0,0.0,9.0,6.0,2.0,4.0,1.0,1.0,4.0,1.0,16.0,1.0,15.0,9.0,4.0,3.0,4.0,4.0,7.0,0.0,8.0,13.0,24.0,27.0,0.0,1.0,4.0,0.0,1.0,0.0,11.0,8.0,4.0,1.0,12.0,12.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,6.0,0.0
dapA_1_98_W_MM1,8.0,4.0,17.0,4.0,2.0,33.0,23.0,20.0,4.0,10.0,1.0,47.0,15.0,7.0,17.0,13.0,0.0,5.0,7.0,4.0,5.0,18.0,9.0,2.0,20.0,15.0,13.0,26.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.0,1.0,2.0,1.0,38.0,5.0,0.0,2.0,9.0,1.0,20.0,2.0,2.0,0.0,0.0,13.0,6.0,1.0,12.0,3.0,2.0,43.0,5.0,6.0,5.0,28.0,3.0,1.0,4.0,0.0,7.0,0.0,12.0,8.0,3.0,6.0,0.0,10.0,13.0,0.0,25.0,0.0,30.0,1.0,1.0,0.0,2.0,1.0,1.0,4.0,107.0,29.0,10.0,1.0,7.0,24.0,1.0,1.0,0.0,2.0,0.0,1.0,51.0,16.0,31.0,1.0
dapA_3_214_B_MM14,125.0,114.0,38.0,153.0,6.0,12.0,709.0,16.0,66.0,6.0,2.0,64.0,63.0,71.0,31.0,17.0,68.0,9.0,5.0,10.0,146.0,287.0,54.0,81.0,60.0,526.0,466.0,442.0,0.0,1.0,0.0,5.0,0.0,80.0,5.0,26.0,1.0,67.0,53.0,106.0,69.0,94.0,132.0,39.0,15.0,13.0,123.0,46.0,167.0,49.0,34.0,16.0,69.0,155.0,185.0,104.0,62.0,65.0,51.0,125.0,44.0,2.0,0.0,0.0,0.0,209.0,42.0,130.0,44.0,183.0,196.0,0.0,0.0,38.0,0.0,68.0,128.0,92.0,23.0,0.0,0.0,243.0,0.0,4.0,0.0,145.0,306.0,443.0,39.0,102.0,30.0,8.0,133.0,169.0,0.0,0.0,39.0,112.0,735.0,346.0,4.0
dapA_3_214_B_MM6,24.0,10.0,13.0,11.0,27.0,19.0,29.0,44.0,30.0,16.0,18.0,40.0,73.0,16.0,41.0,12.0,3.0,12.0,10.0,11.0,17.0,36.0,0.0,4.0,3.0,97.0,104.0,49.0,0.0,1.0,0.0,2.0,2.0,14.0,21.0,8.0,0.0,2.0,3.0,1.0,1.0,2.0,4.0,12.0,22.0,1.0,5.0,3.0,2.0,4.0,4.0,3.0,13.0,20.0,0.0,14.0,18.0,6.0,7.0,9.0,45.0,8.0,0.0,0.0,0.0,43.0,32.0,12.0,63.0,6.0,3.0,1.0,5.0,33.0,0.0,47.0,13.0,16.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,52.0,62.0,42.0,16.0,43.0,0.0,5.0,7.0,8.0,0.0,0.0,0.0,15.0,22.0,24.0,0.0
dapA_3_214_B_MM9,9.0,1.0,4.0,8.0,1.0,2.0,23.0,21.0,67.0,27.0,15.0,15.0,18.0,6.0,70.0,5.0,0.0,3.0,11.0,12.0,38.0,27.0,1.0,2.0,5.0,95.0,44.0,95.0,1.0,0.0,0.0,0.0,0.0,20.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,21.0,12.0,5.0,9.0,19.0,4.0,4.0,7.0,4.0,0.0,0.0,4.0,5.0,11.0,7.0,11.0,16.0,11.0,11.0,10.0,1.0,5.0,3.0,1.0,26.0,4.0,16.0,4.0,14.0,8.0,0.0,2.0,3.0,38.0,20.0,16.0,30.0,15.0,0.0,0.0,8.0,5.0,2.0,0.0,102.0,30.0,40.0,17.0,25.0,1.0,3.0,3.0,7.0,0.0,0.0,0.0,5.0,56.0,54.0,0.0
dapA_3_214_C,3.0,5.0,10.0,48.0,3.0,2.0,3.0,19.0,37.0,64.0,25.0,46.0,38.0,28.0,29.0,5.0,20.0,9.0,7.0,31.0,7.0,9.0,0.0,0.0,5.0,39.0,40.0,35.0,0.0,0.0,0.0,7.0,0.0,9.0,3.0,0.0,0.0,12.0,0.0,0.0,3.0,25.0,4.0,1.0,0.0,8.0,4.0,67.0,1.0,2.0,4.0,1.0,2.0,25.0,28.0,21.0,62.0,4.0,3.0,22.0,29.0,44.0,3.0,1.0,0.0,47.0,3.0,23.0,14.0,20.0,22.0,1.0,8.0,40.0,0.0,9.0,15.0,9.0,33.0,0.0,2.0,7.0,1.0,2.0,1.0,47.0,55.0,53.0,29.0,10.0,42.0,1.0,9.0,2.0,20.0,0.0,4.0,6.0,10.0,81.0,1.0
