,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,10889.0,295.0,1445.0,1983.0,3.0,40.0,6336.0,124.0,258.0,113.0,13.0,396.0,1317.0,1522.0,132.0,23.0,2486.0,131.0,46.0,158.0,4852.0,5300.0,617.0,2079.0,1059.0,12713.0,10690.0,12393.0,0.0,1.0,5.0,27.0,0.0,849.0,25.0,1080.0,0.0,926.0,657.0,341.0,3582.0,997.0,2763.0,643.0,1070.0,234.0,538.0,850.0,720.0,875.0,535.0,271.0,270.0,2570.0,2005.0,1161.0,1133.0,2217.0,893.0,1807.0,608.0,37.0,16.0,31.0,2.0,10168.0,335.0,2339.0,145.0,2777.0,2964.0,25.0,79.0,110.0,0.0,859.0,2014.0,1404.0,402.0,19.0,18.0,3953.0,9.0,28.0,1.0,1785.0,5308.0,5095.0,157.0,1342.0,94.0,39.0,1419.0,2368.0,4.0,8.0,52.0,1706.0,9839.0,9014.0,12.0
dapA_1_98_B_MM3,243.0,1129.0,701.0,512.0,40.0,82.0,404.0,43.0,56.0,142.0,48.0,201.0,700.0,418.0,262.0,82.0,178.0,211.0,137.0,185.0,120.0,447.0,44.0,19.0,143.0,1156.0,744.0,1066.0,0.0,0.0,0.0,0.0,0.0,388.0,24.0,24.0,0.0,113.0,96.0,67.0,100.0,38.0,278.0,27.0,60.0,128.0,37.0,12.0,32.0,21.0,61.0,11.0,112.0,247.0,215.0,223.0,262.0,66.0,213.0,213.0,142.0,10.0,49.0,26.0,198.0,752.0,163.0,334.0,67.0,126.0,312.0,56.0,170.0,439.0,0.0,383.0,294.0,501.0,186.0,1.0,3.0,142.0,0.0,31.0,20.0,1011.0,447.0,394.0,172.0,783.0,9.0,88.0,259.0,118.0,24.0,0.0,151.0,197.0,610.0,527.0,0.0
dapA_1_98_B_MM7,968.0,149.0,3782.0,2143.0,16.0,45.0,1540.0,200.0,145.0,175.0,14.0,417.0,1167.0,1175.0,226.0,80.0,621.0,523.0,50.0,133.0,523.0,2035.0,154.0,114.0,1051.0,4128.0,3114.0,2233.0,7.0,0.0,1.0,9.0,0.0,366.0,45.0,324.0,0.0,600.0,381.0,528.0,282.0,394.0,159.0,197.0,440.0,78.0,22.0,131.0,117.0,152.0,200.0,96.0,151.0,619.0,681.0,528.0,512.0,902.0,715.0,1035.0,714.0,37.0,2.0,22.0,64.0,2324.0,239.0,1080.0,261.0,583.0,965.0,43.0,240.0,270.0,0.0,535.0,959.0,950.0,364.0,0.0,8.0,366.0,14.0,1.0,7.0,1520.0,1424.0,1774.0,296.0,961.0,335.0,92.0,518.0,128.0,9.0,0.0,93.0,225.0,2176.0,1454.0,4.0
dapA_1_98_B_MM9,3616.0,375.0,1881.0,6674.0,42.0,86.0,7423.0,305.0,183.0,50.0,27.0,557.0,1600.0,1723.0,663.0,122.0,3752.0,724.0,211.0,165.0,3071.0,4975.0,628.0,1349.0,933.0,7547.0,8390.0,12401.0,0.0,0.0,35.0,23.0,1.0,1830.0,47.0,1004.0,3.0,1509.0,1233.0,2371.0,1981.0,635.0,2072.0,593.0,554.0,123.0,353.0,305.0,94.0,495.0,99.0,93.0,397.0,2923.0,2930.0,1628.0,2564.0,851.0,992.0,1648.0,712.0,27.0,3.0,128.0,0.0,8231.0,461.0,2600.0,1095.0,2145.0,4416.0,17.0,178.0,298.0,0.0,791.0,1688.0,1790.0,295.0,1.0,2.0,676.0,5.0,12.0,0.0,2597.0,8608.0,4983.0,338.0,1323.0,80.0,129.0,1253.0,1006.0,1.0,0.0,65.0,870.0,7932.0,9760.0,1.0
dapA_1_98_C,22.0,140.0,82.0,3.0,341.0,58.0,38.0,85.0,3.0,10.0,49.0,74.0,48.0,86.0,152.0,123.0,14.0,2.0,422.0,26.0,74.0,64.0,13.0,1.0,5.0,93.0,195.0,1152.0,0.0,0.0,0.0,300.0,25.0,16.0,281.0,2.0,0.0,2.0,0.0,41.0,1.0,1.0,3.0,3.0,117.0,78.0,138.0,6.0,35.0,21.0,31.0,7.0,30.0,97.0,5.0,42.0,34.0,3.0,24.0,30.0,9.0,3.0,0.0,10.0,56.0,103.0,37.0,46.0,6.0,7.0,24.0,0.0,12.0,51.0,0.0,81.0,59.0,340.0,6.0,0.0,0.0,26.0,110.0,0.0,5.0,303.0,15.0,89.0,101.0,62.0,137.0,10.0,47.0,29.0,1.0,0.0,52.0,84.0,102.0,234.0,7.0
dapA_1_98_W_MM1,103.0,7.0,341.0,17.0,199.0,266.0,121.0,101.0,71.0,133.0,13.0,134.0,202.0,118.0,200.0,259.0,37.0,2.0,43.0,57.0,40.0,32.0,4.0,18.0,108.0,227.0,113.0,363.0,0.0,0.0,0.0,21.0,0.0,47.0,55.0,38.0,0.0,49.0,1.0,4.0,46.0,134.0,99.0,122.0,0.0,12.0,2.0,67.0,4.0,82.0,21.0,637.0,27.0,69.0,63.0,109.0,87.0,207.0,16.0,77.0,249.0,5.0,0.0,7.0,8.0,107.0,47.0,271.0,66.0,47.0,238.0,1.0,105.0,256.0,0.0,68.0,120.0,199.0,36.0,0.0,37.0,44.0,20.0,36.0,3.0,270.0,143.0,32.0,130.0,160.0,273.0,65.0,119.0,45.0,0.0,0.0,33.0,107.0,213.0,629.0,14.0
dapA_3_214_B_MM14,4853.0,526.0,1202.0,7346.0,227.0,178.0,39098.0,192.0,573.0,113.0,220.0,706.0,2888.0,3335.0,322.0,64.0,2713.0,120.0,7.0,68.0,8743.0,13806.0,2417.0,7757.0,1191.0,21411.0,19549.0,23201.0,0.0,8.0,1.0,31.0,3.0,1816.0,37.0,856.0,60.0,2716.0,2552.0,1809.0,3398.0,4002.0,4380.0,1567.0,2020.0,158.0,2079.0,858.0,2629.0,1076.0,780.0,201.0,1796.0,9086.0,3956.0,3354.0,2778.0,2888.0,1580.0,1662.0,1090.0,105.0,78.0,33.0,4.0,14064.0,566.0,3532.0,638.0,7230.0,4478.0,26.0,95.0,201.0,0.0,3117.0,3562.0,2001.0,595.0,3.0,0.0,11438.0,13.0,100.0,60.0,5517.0,13404.0,9747.0,816.0,1976.0,150.0,178.0,2709.0,8289.0,0.0,0.0,169.0,8670.0,37433.0,8480.0,24.0
dapA_3_214_B_MM6,175.0,226.0,111.0,49.0,410.0,62.0,243.0,653.0,188.0,65.0,102.0,203.0,774.0,473.0,195.0,201.0,94.0,61.0,145.0,93.0,44.0,1408.0,27.0,73.0,202.0,640.0,390.0,498.0,0.0,0.0,0.0,49.0,1.0,230.0,115.0,83.0,0.0,63.0,37.0,8.0,29.0,65.0,243.0,25.0,34.0,0.0,55.0,48.0,130.0,10.0,42.0,0.0,51.0,206.0,112.0,302.0,225.0,278.0,32.0,296.0,240.0,0.0,10.0,46.0,11.0,533.0,105.0,305.0,274.0,69.0,124.0,27.0,82.0,265.0,0.0,191.0,205.0,372.0,163.0,1.0,0.0,44.0,18.0,7.0,8.0,962.0,799.0,447.0,240.0,216.0,4.0,116.0,113.0,38.0,2.0,0.0,267.0,85.0,671.0,282.0,0.0
dapA_3_214_B_MM9,273.0,6.0,55.0,182.0,1.0,6.0,485.0,359.0,1443.0,92.0,39.0,428.0,265.0,279.0,328.0,604.0,102.0,62.0,148.0,106.0,383.0,474.0,23.0,74.0,333.0,609.0,560.0,878.0,0.0,0.0,0.0,36.0,0.0,192.0,123.0,26.0,11.0,50.0,79.0,157.0,102.0,124.0,101.0,45.0,6.0,27.0,46.0,79.0,19.0,54.0,1944.0,7.0,59.0,125.0,132.0,177.0,370.0,65.0,20.0,253.0,372.0,74.0,8.0,200.0,6.0,558.0,14.0,359.0,154.0,497.0,44.0,1.0,67.0,140.0,0.0,346.0,328.0,427.0,93.0,0.0,15.0,44.0,58.0,4.0,13.0,373.0,538.0,597.0,170.0,624.0,59.0,29.0,92.0,66.0,0.0,0.0,5.0,95.0,416.0,100.0,0.0
dapA_3_214_C,110.0,99.0,139.0,117.0,4.0,140.0,64.0,197.0,124.0,397.0,101.0,151.0,166.0,134.0,347.0,33.0,40.0,70.0,98.0,219.0,73.0,365.0,2.0,8.0,95.0,402.0,338.0,388.0,0.0,0.0,0.0,4.0,0.0,212.0,3.0,22.0,0.0,65.0,12.0,5.0,51.0,3.0,41.0,118.0,32.0,36.0,17.0,64.0,28.0,3.0,89.0,15.0,71.0,234.0,92.0,92.0,60.0,93.0,156.0,152.0,163.0,15.0,52.0,17.0,0.0,150.0,61.0,399.0,8.0,72.0,56.0,53.0,3.0,322.0,0.0,46.0,89.0,219.0,206.0,2.0,1.0,166.0,4.0,5.0,18.0,604.0,186.0,310.0,172.0,35.0,84.0,124.0,131.0,89.0,0.0,0.0,39.0,54.0,241.0,120.0,19.0
