,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,1340.0,338.0,827.0,317.0,390.0,731.0,523.0,500.0,728.0,800.0,381.0,438.0,371.0,354.0,456.0,468.0,153.0,158.0,627.0,284.0,443.0,703.0,537.0,574.0,361.0,1157.0,965.0,707.0,700.0,284.0,412.0,847.0,188.0,404.0,1157.0,152.0,49.0,203.0,71.0,139.0,404.0,179.0,707.0,584.0,182.0,163.0,317.0,379.0,250.0,271.0,127.0,198.0,384.0,733.0,550.0,634.0,642.0,402.0,112.0,175.0,172.0,395.0,77.0,157.0,156.0,627.0,321.0,679.0,226.0,186.0,213.0,193.0,275.0,969.0,118.0,321.0,368.0,448.0,260.0,193.0,202.0,371.0,162.0,222.0,163.0,666.0,655.0,826.0,688.0,1254.0,1018.0,721.0,1110.0,337.0,515.0,139.0,1021.0,385.0,463.0,240.0,543.0
dapA_1_98_B_MM3,314.0,2459.0,1078.0,1584.0,651.0,850.0,1018.0,1174.0,548.0,1000.0,517.0,1012.0,967.0,656.0,632.0,362.0,548.0,158.0,1188.0,664.0,512.0,726.0,345.0,465.0,914.0,1387.0,1281.0,1513.0,658.0,543.0,423.0,1535.0,495.0,757.0,1391.0,88.0,123.0,291.0,85.0,159.0,375.0,424.0,666.0,379.0,578.0,274.0,276.0,554.0,365.0,1431.0,362.0,58.0,446.0,1010.0,526.0,905.0,871.0,988.0,395.0,486.0,311.0,614.0,176.0,254.0,109.0,1305.0,405.0,772.0,468.0,451.0,480.0,461.0,298.0,854.0,469.0,578.0,489.0,776.0,238.0,304.0,135.0,395.0,234.0,166.0,321.0,1236.0,570.0,864.0,479.0,1684.0,871.0,1219.0,1083.0,269.0,529.0,64.0,1023.0,512.0,563.0,342.0,647.0
dapA_1_98_B_MM7,1007.0,854.0,3881.0,539.0,737.0,1132.0,377.0,818.0,594.0,1350.0,922.0,1093.0,1604.0,871.0,841.0,434.0,613.0,352.0,1135.0,820.0,741.0,1145.0,404.0,488.0,792.0,2755.0,1672.0,1573.0,1017.0,1340.0,669.0,1372.0,410.0,1555.0,2320.0,378.0,116.0,399.0,198.0,189.0,453.0,489.0,487.0,447.0,504.0,412.0,337.0,403.0,402.0,507.0,415.0,220.0,499.0,1173.0,1258.0,690.0,826.0,1300.0,648.0,457.0,273.0,385.0,111.0,221.0,91.0,1110.0,258.0,976.0,680.0,481.0,272.0,536.0,1085.0,768.0,308.0,672.0,399.0,1001.0,310.0,466.0,401.0,390.0,316.0,362.0,337.0,1542.0,860.0,1840.0,1519.0,1063.0,1211.0,851.0,489.0,537.0,891.0,226.0,1550.0,752.0,844.0,671.0,1039.0
dapA_1_98_B_MM9,549.0,1245.0,757.0,2117.0,392.0,1039.0,348.0,691.0,411.0,1025.0,449.0,749.0,471.0,674.0,643.0,297.0,490.0,137.0,749.0,679.0,224.0,1211.0,330.0,558.0,756.0,3123.0,1467.0,1016.0,633.0,940.0,530.0,863.0,314.0,910.0,1204.0,203.0,161.0,243.0,75.0,451.0,1545.0,201.0,392.0,847.0,576.0,300.0,491.0,339.0,54.0,344.0,628.0,86.0,421.0,908.0,1024.0,840.0,879.0,420.0,392.0,397.0,262.0,720.0,76.0,261.0,38.0,737.0,426.0,426.0,215.0,174.0,376.0,379.0,329.0,1255.0,342.0,606.0,411.0,797.0,254.0,329.0,273.0,162.0,356.0,228.0,136.0,1085.0,657.0,1199.0,783.0,1007.0,1001.0,749.0,562.0,557.0,521.0,103.0,860.0,830.0,451.0,252.0,630.0
dapA_1_98_C,357.0,593.0,563.0,545.0,1279.0,581.0,799.0,282.0,370.0,346.0,303.0,917.0,656.0,367.0,484.0,454.0,384.0,175.0,418.0,268.0,266.0,472.0,116.0,256.0,394.0,1796.0,830.0,666.0,399.0,639.0,414.0,909.0,119.0,403.0,1220.0,91.0,79.0,238.0,60.0,164.0,99.0,125.0,300.0,384.0,482.0,144.0,279.0,142.0,239.0,338.0,163.0,63.0,367.0,668.0,524.0,561.0,854.0,708.0,610.0,388.0,312.0,286.0,217.0,207.0,112.0,484.0,235.0,510.0,316.0,545.0,154.0,377.0,207.0,517.0,205.0,225.0,146.0,355.0,335.0,259.0,148.0,246.0,97.0,214.0,83.0,171.0,477.0,694.0,258.0,843.0,1474.0,641.0,413.0,247.0,475.0,135.0,561.0,1303.0,232.0,295.0,435.0
dapA_1_98_W_MM1,436.0,787.0,684.0,634.0,269.0,2751.0,351.0,430.0,862.0,706.0,527.0,1236.0,1008.0,1110.0,856.0,354.0,399.0,352.0,366.0,495.0,661.0,806.0,399.0,446.0,300.0,1714.0,1488.0,1123.0,865.0,732.0,600.0,1266.0,150.0,542.0,1375.0,155.0,60.0,252.0,186.0,102.0,271.0,290.0,818.0,844.0,281.0,151.0,244.0,769.0,291.0,462.0,524.0,132.0,714.0,896.0,893.0,745.0,1005.0,750.0,266.0,407.0,279.0,466.0,218.0,395.0,213.0,795.0,151.0,831.0,366.0,191.0,386.0,575.0,429.0,1176.0,456.0,484.0,226.0,572.0,275.0,336.0,124.0,292.0,220.0,88.0,237.0,1074.0,889.0,970.0,351.0,1256.0,1373.0,617.0,658.0,570.0,832.0,91.0,1053.0,813.0,802.0,481.0,1154.0
dapA_3_214_B_MM14,485.0,643.0,580.0,451.0,292.0,608.0,1550.0,871.0,394.0,769.0,605.0,421.0,658.0,610.0,581.0,267.0,263.0,150.0,360.0,861.0,259.0,638.0,206.0,302.0,463.0,1690.0,890.0,1052.0,759.0,433.0,830.0,851.0,369.0,696.0,804.0,100.0,160.0,357.0,55.0,259.0,175.0,226.0,325.0,397.0,330.0,378.0,349.0,289.0,574.0,618.0,283.0,154.0,1048.0,656.0,1076.0,439.0,394.0,641.0,132.0,295.0,176.0,566.0,99.0,339.0,124.0,409.0,137.0,512.0,323.0,362.0,463.0,349.0,293.0,1269.0,165.0,321.0,318.0,373.0,253.0,150.0,153.0,226.0,84.0,188.0,314.0,734.0,661.0,1250.0,563.0,2095.0,822.0,835.0,664.0,697.0,686.0,68.0,313.0,422.0,455.0,461.0,838.0
dapA_3_214_B_MM6,460.0,1333.0,1089.0,733.0,649.0,837.0,929.0,3928.0,899.0,1712.0,1072.0,1241.0,1564.0,1393.0,763.0,558.0,332.0,317.0,850.0,1077.0,472.0,1185.0,209.0,384.0,660.0,2070.0,1227.0,1953.0,1340.0,1098.0,873.0,2222.0,499.0,1518.0,1722.0,107.0,188.0,293.0,269.0,118.0,361.0,355.0,935.0,1126.0,443.0,413.0,525.0,485.0,347.0,408.0,426.0,111.0,708.0,963.0,1272.0,936.0,673.0,766.0,757.0,717.0,433.0,840.0,431.0,440.0,201.0,1288.0,518.0,1243.0,277.0,426.0,352.0,475.0,880.0,804.0,241.0,640.0,363.0,1044.0,221.0,351.0,271.0,484.0,225.0,333.0,363.0,1229.0,1123.0,1857.0,859.0,2500.0,1234.0,1647.0,527.0,769.0,944.0,274.0,1957.0,860.0,1022.0,597.0,1326.0
dapA_3_214_B_MM9,426.0,305.0,765.0,561.0,179.0,632.0,331.0,689.0,1552.0,848.0,253.0,651.0,439.0,561.0,471.0,210.0,184.0,129.0,456.0,709.0,434.0,1043.0,112.0,79.0,319.0,984.0,867.0,1060.0,580.0,575.0,420.0,641.0,140.0,628.0,1038.0,73.0,89.0,221.0,49.0,100.0,181.0,63.0,378.0,418.0,411.0,394.0,196.0,258.0,233.0,452.0,371.0,47.0,481.0,751.0,340.0,525.0,488.0,315.0,481.0,330.0,205.0,432.0,183.0,114.0,209.0,711.0,460.0,653.0,227.0,317.0,197.0,141.0,223.0,896.0,359.0,270.0,164.0,574.0,202.0,157.0,111.0,432.0,263.0,127.0,153.0,937.0,508.0,951.0,429.0,1142.0,498.0,792.0,758.0,294.0,791.0,163.0,413.0,323.0,375.0,220.0,660.0
dapA_3_214_C,622.0,857.0,1245.0,1120.0,270.0,1088.0,527.0,1616.0,1204.0,3891.0,859.0,1417.0,1095.0,1245.0,737.0,665.0,661.0,594.0,716.0,1030.0,786.0,1545.0,422.0,313.0,653.0,2653.0,1760.0,2517.0,1035.0,1326.0,961.0,1193.0,645.0,1234.0,1986.0,112.0,130.0,841.0,86.0,64.0,384.0,442.0,863.0,1269.0,491.0,746.0,501.0,579.0,519.0,889.0,574.0,395.0,626.0,936.0,1053.0,881.0,1183.0,1192.0,645.0,644.0,575.0,563.0,326.0,250.0,244.0,1561.0,815.0,1046.0,632.0,483.0,586.0,646.0,1048.0,1764.0,384.0,601.0,398.0,1105.0,509.0,293.0,228.0,731.0,301.0,127.0,225.0,1835.0,625.0,2553.0,1023.0,1169.0,1973.0,1159.0,1124.0,662.0,1130.0,417.0,1190.0,1378.0,1149.0,676.0,1569.0
