,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,1090.0,935.0,869.0,585.0,211.0,580.0,238.0,571.0,545.0,626.0,352.0,515.0,507.0,631.0,449.0,177.0,286.0,355.0,430.0,553.0,334.0,586.0,126.0,213.0,531.0,2215.0,943.0,623.0,479.0,933.0,618.0,908.0,298.0,254.0,1157.0,139.0,13.0,94.0,70.0,36.0,455.0,236.0,457.0,457.0,502.0,205.0,217.0,365.0,271.0,496.0,328.0,115.0,291.0,665.0,533.0,573.0,385.0,663.0,234.0,357.0,177.0,438.0,144.0,304.0,119.0,529.0,502.0,495.0,282.0,282.0,246.0,477.0,284.0,450.0,280.0,198.0,345.0,672.0,376.0,342.0,169.0,484.0,262.0,262.0,248.0,536.0,451.0,890.0,553.0,1462.0,536.0,847.0,681.0,208.0,552.0,128.0,599.0,639.0,415.0,480.0,995.0
dapA_1_98_B_MM3,574.0,2544.0,2147.0,660.0,581.0,960.0,619.0,680.0,649.0,1172.0,565.0,951.0,757.0,1508.0,764.0,524.0,212.0,280.0,606.0,667.0,492.0,829.0,93.0,596.0,513.0,1697.0,1344.0,1559.0,866.0,851.0,565.0,1558.0,372.0,834.0,1166.0,59.0,47.0,370.0,222.0,124.0,455.0,445.0,598.0,576.0,524.0,391.0,331.0,404.0,455.0,443.0,296.0,147.0,526.0,1385.0,894.0,1172.0,739.0,490.0,486.0,513.0,160.0,746.0,272.0,292.0,157.0,1689.0,301.0,1045.0,364.0,306.0,451.0,432.0,1362.0,1031.0,169.0,804.0,320.0,923.0,392.0,464.0,211.0,296.0,64.0,286.0,379.0,1572.0,831.0,1917.0,962.0,1250.0,1393.0,951.0,829.0,657.0,386.0,57.0,1334.0,703.0,746.0,728.0,616.0
dapA_1_98_B_MM7,906.0,858.0,3757.0,1465.0,922.0,627.0,603.0,1515.0,616.0,1240.0,609.0,1430.0,1670.0,1050.0,795.0,459.0,392.0,466.0,693.0,597.0,590.0,1407.0,360.0,373.0,648.0,2541.0,1640.0,1216.0,1216.0,1267.0,1009.0,1755.0,545.0,855.0,1407.0,144.0,116.0,1107.0,215.0,388.0,506.0,575.0,334.0,830.0,724.0,344.0,384.0,521.0,894.0,744.0,376.0,215.0,667.0,944.0,1134.0,813.0,1322.0,1065.0,683.0,732.0,424.0,427.0,367.0,367.0,459.0,1381.0,806.0,1164.0,354.0,414.0,412.0,618.0,982.0,1048.0,244.0,643.0,779.0,981.0,479.0,538.0,256.0,742.0,113.0,70.0,445.0,1566.0,1245.0,1765.0,654.0,1705.0,1248.0,865.0,1048.0,418.0,1255.0,267.0,1282.0,590.0,582.0,635.0,1129.0
dapA_1_98_B_MM9,795.0,389.0,1064.0,1918.0,545.0,2126.0,393.0,587.0,523.0,664.0,502.0,825.0,1068.0,633.0,485.0,291.0,538.0,286.0,817.0,312.0,398.0,804.0,331.0,311.0,468.0,1274.0,1068.0,1103.0,570.0,514.0,435.0,767.0,309.0,1107.0,1106.0,199.0,70.0,280.0,181.0,734.0,444.0,429.0,410.0,627.0,391.0,452.0,298.0,325.0,332.0,265.0,268.0,140.0,281.0,1085.0,965.0,727.0,1076.0,286.0,345.0,571.0,313.0,497.0,132.0,243.0,121.0,785.0,312.0,649.0,756.0,679.0,423.0,507.0,617.0,739.0,512.0,558.0,288.0,1153.0,304.0,481.0,457.0,246.0,94.0,109.0,186.0,1173.0,1098.0,1151.0,1100.0,1131.0,817.0,799.0,875.0,586.0,522.0,280.0,1346.0,517.0,504.0,340.0,741.0
dapA_1_98_C,170.0,742.0,1030.0,445.0,1832.0,469.0,514.0,567.0,306.0,517.0,364.0,658.0,689.0,673.0,467.0,767.0,255.0,126.0,675.0,436.0,282.0,679.0,118.0,142.0,213.0,1561.0,878.0,660.0,320.0,262.0,370.0,762.0,149.0,558.0,1255.0,37.0,125.0,93.0,145.0,224.0,106.0,467.0,316.0,446.0,554.0,261.0,273.0,207.0,211.0,419.0,156.0,67.0,391.0,797.0,537.0,346.0,496.0,533.0,542.0,143.0,186.0,372.0,122.0,110.0,324.0,749.0,178.0,533.0,447.0,559.0,364.0,229.0,394.0,713.0,314.0,519.0,543.0,568.0,194.0,316.0,261.0,485.0,69.0,227.0,302.0,781.0,445.0,1023.0,578.0,496.0,1081.0,498.0,523.0,237.0,336.0,31.0,536.0,338.0,406.0,320.0,806.0
dapA_1_98_W_MM1,915.0,441.0,1600.0,967.0,584.0,2269.0,517.0,669.0,352.0,1491.0,434.0,830.0,1153.0,815.0,959.0,672.0,355.0,148.0,765.0,534.0,437.0,984.0,236.0,265.0,824.0,2474.0,1663.0,1466.0,903.0,501.0,408.0,2091.0,350.0,346.0,1504.0,53.0,291.0,428.0,113.0,151.0,355.0,364.0,636.0,936.0,445.0,211.0,247.0,523.0,376.0,453.0,263.0,120.0,412.0,1051.0,807.0,504.0,764.0,1142.0,566.0,503.0,408.0,537.0,141.0,136.0,144.0,1061.0,342.0,789.0,260.0,483.0,363.0,497.0,684.0,1377.0,474.0,882.0,294.0,501.0,497.0,330.0,742.0,322.0,126.0,315.0,124.0,1312.0,527.0,915.0,466.0,1071.0,2029.0,639.0,1376.0,517.0,1924.0,126.0,1852.0,1101.0,811.0,731.0,1115.0
dapA_3_214_B_MM14,325.0,629.0,637.0,844.0,574.0,859.0,1713.0,450.0,452.0,756.0,572.0,676.0,624.0,633.0,308.0,284.0,177.0,412.0,750.0,614.0,551.0,542.0,239.0,372.0,186.0,1825.0,966.0,1273.0,503.0,721.0,882.0,967.0,142.0,457.0,857.0,135.0,71.0,199.0,111.0,101.0,147.0,368.0,311.0,509.0,359.0,289.0,371.0,246.0,262.0,350.0,200.0,52.0,558.0,1224.0,563.0,689.0,612.0,522.0,317.0,320.0,314.0,396.0,183.0,71.0,160.0,932.0,342.0,530.0,421.0,385.0,138.0,579.0,659.0,818.0,321.0,513.0,270.0,483.0,430.0,220.0,77.0,543.0,274.0,137.0,204.0,689.0,1016.0,765.0,590.0,1005.0,726.0,695.0,857.0,346.0,662.0,132.0,291.0,702.0,698.0,176.0,847.0
dapA_3_214_B_MM6,726.0,1101.0,1004.0,550.0,641.0,1279.0,714.0,2540.0,603.0,1541.0,618.0,1216.0,1392.0,1921.0,940.0,444.0,346.0,286.0,675.0,615.0,436.0,1619.0,458.0,358.0,965.0,2832.0,1120.0,3688.0,604.0,771.0,1195.0,1789.0,481.0,1524.0,1831.0,300.0,266.0,177.0,116.0,52.0,546.0,175.0,804.0,742.0,441.0,464.0,589.0,699.0,874.0,525.0,464.0,154.0,587.0,1316.0,847.0,966.0,1356.0,1148.0,439.0,787.0,577.0,606.0,241.0,357.0,131.0,1273.0,1023.0,790.0,614.0,418.0,616.0,686.0,937.0,1449.0,356.0,729.0,455.0,1155.0,603.0,378.0,580.0,951.0,334.0,426.0,329.0,1713.0,1086.0,2596.0,1231.0,1685.0,1062.0,1211.0,842.0,534.0,1090.0,521.0,1605.0,800.0,1217.0,848.0,1182.0
dapA_3_214_B_MM9,259.0,394.0,445.0,737.0,510.0,624.0,349.0,716.0,1566.0,905.0,618.0,669.0,707.0,905.0,406.0,305.0,115.0,212.0,843.0,296.0,203.0,357.0,146.0,233.0,326.0,981.0,658.0,1070.0,462.0,477.0,536.0,989.0,248.0,643.0,1026.0,69.0,141.0,178.0,152.0,157.0,121.0,161.0,414.0,695.0,198.0,264.0,335.0,422.0,334.0,238.0,346.0,141.0,144.0,698.0,463.0,590.0,652.0,383.0,426.0,426.0,384.0,421.0,58.0,272.0,166.0,863.0,130.0,572.0,643.0,437.0,116.0,462.0,540.0,754.0,215.0,522.0,191.0,368.0,173.0,153.0,207.0,150.0,120.0,123.0,248.0,651.0,736.0,1257.0,421.0,763.0,832.0,631.0,539.0,341.0,303.0,5.0,944.0,303.0,486.0,153.0,553.0
dapA_3_214_C,874.0,1070.0,1473.0,853.0,742.0,1431.0,693.0,2016.0,641.0,4197.0,2151.0,1677.0,1665.0,1433.0,1265.0,483.0,625.0,348.0,1395.0,1398.0,819.0,900.0,478.0,563.0,756.0,2456.0,1841.0,2546.0,749.0,877.0,777.0,1168.0,949.0,734.0,1139.0,301.0,77.0,299.0,131.0,64.0,532.0,468.0,1187.0,852.0,763.0,483.0,369.0,996.0,452.0,905.0,538.0,203.0,529.0,1577.0,816.0,751.0,1066.0,1069.0,571.0,710.0,386.0,300.0,126.0,222.0,201.0,2196.0,351.0,951.0,316.0,928.0,329.0,437.0,640.0,1741.0,608.0,566.0,634.0,755.0,624.0,623.0,353.0,674.0,329.0,368.0,492.0,1947.0,914.0,2441.0,1287.0,1129.0,1551.0,1636.0,1103.0,631.0,1567.0,61.0,1063.0,803.0,1398.0,1139.0,1044.0
