,dapA_1_98_B_MM14,dapA_1_98_B_MM3,dapA_1_98_B_MM7,dapA_1_98_B_MM9,dapA_1_98_C,dapA_1_98_W_MM1,dapA_3_214_B_MM14,dapA_3_214_B_MM6,dapA_3_214_B_MM9,dapA_3_214_C,dapA_3_214_W_MM1,dapB_1_18_B_MM11,dapB_1_18_B_MM13,dapB_1_18_B_MM14,dapB_1_18_B_MM5,dapB_1_18_C,dapB_3_239_B_MM14,dapB_3_239_B_MM9,dapB_3_239_C,dapB_3_239_W_MM1,fake_negC_rand_18,fake_negC_rand_28,fake_negC_rand_31,fake_negC_rand_42,fake_negC_rand_43,folA_1_56_B_MM10,folA_1_56_B_MM11,folA_1_56_B_MM14,folA_1_56_B_MM2,folA_1_56_B_MM3,folA_1_56_B_MM6,folA_1_56_B_MM9,folA_1_56_C,folA_3_242_B_MM3,folA_3_242_C,gdhA_1_42_B_MM10,gdhA_1_42_B_MM14,gdhA_1_42_B_MM4,gdhA_1_42_B_MM6,gdhA_1_42_B_MM8,gdhA_1_42_C,gdhA_3_216_B_MM10,gdhA_3_216_B_MM14,gdhA_3_216_B_MM4,gdhA_3_216_B_MM6,gdhA_3_216_B_MM8,gdhA_3_216_C,gltB_1_17_B_MM10,gltB_1_17_B_MM14,gltB_1_17_B_MM4,gltB_1_17_B_MM6,gltB_1_17_B_MM8,gltB_1_17_C,gltB_3_284_B_MM10,gltB_3_284_B_MM14,gltB_3_284_B_MM4,gltB_3_284_B_MM6,gltB_3_284_B_MM8,gltB_3_284_C,glyA_1_26_B_MM11,glyA_1_26_B_MM12,glyA_1_26_B_MM4,glyA_1_26_B_MM8,glyA_1_26_B_MM9,glyA_1_26_C,glyA_3_279_B_MM14,glyA_3_279_B_MM3,glyA_3_279_B_MM6,glyA_3_279_C,negC_rand_42,purL_1_25_B_MM14,purL_1_25_B_MM3,purL_1_25_B_MM8,purL_1_25_B_MM9,purL_1_25_C,purL_3_201_B_MM11,purL_3_201_B_MM14,purL_3_201_B_MM5,purL_3_201_B_MM9,purL_3_201_C,purL_3_201_W_MM1,purN_1_86_B_MM12,purN_1_86_B_MM2,purN_1_86_B_MM4,purN_1_86_C,purN_3_238_B_MM10,purN_3_238_B_MM11,purN_3_238_B_MM14,purN_3_238_B_MM4,purN_3_238_B_MM5,purN_3_238_C,purN_3_238_W_MM1,thyA_1_60_B_MM12,thyA_1_60_B_MM13,thyA_1_60_B_MM2,thyA_1_60_C,thyA_3_233_B_MM4,thyA_3_233_B_MM5,thyA_3_233_B_MM6,thyA_3_233_B_MM7,thyA_3_233_C
dapA_1_98_B_MM14,6604.0,223.0,585.0,1363.0,23.0,93.0,7071.0,82.0,373.0,32.0,10.0,128.0,309.0,1654.0,50.0,55.0,1454.0,56.0,3.0,21.0,3567.0,4546.0,1956.0,3067.0,515.0,6229.0,9552.0,9358.0,0.0,0.0,0.0,3.0,0.0,840.0,6.0,954.0,0.0,1380.0,455.0,768.0,1935.0,263.0,1865.0,507.0,410.0,38.0,337.0,465.0,680.0,411.0,219.0,262.0,304.0,2677.0,1591.0,1187.0,1188.0,851.0,205.0,477.0,631.0,5.0,37.0,0.0,10.0,4285.0,101.0,1367.0,105.0,1652.0,1703.0,30.0,36.0,143.0,0.0,382.0,1076.0,953.0,201.0,41.0,18.0,2111.0,2.0,37.0,1.0,1047.0,4887.0,4055.0,246.0,699.0,84.0,27.0,1647.0,1741.0,29.0,2.0,23.0,742.0,9013.0,4605.0,52.0
dapA_1_98_B_MM3,143.0,530.0,556.0,931.0,19.0,22.0,347.0,41.0,45.0,109.0,2.0,151.0,128.0,389.0,134.0,20.0,182.0,41.0,100.0,178.0,75.0,262.0,59.0,80.0,184.0,797.0,442.0,657.0,0.0,0.0,0.0,8.0,9.0,194.0,20.0,4.0,0.0,178.0,21.0,38.0,158.0,18.0,133.0,39.0,61.0,2.0,27.0,61.0,155.0,39.0,31.0,0.0,46.0,109.0,82.0,172.0,89.0,319.0,43.0,154.0,92.0,97.0,13.0,43.0,1.0,366.0,54.0,494.0,58.0,88.0,292.0,0.0,45.0,59.0,0.0,126.0,322.0,285.0,71.0,7.0,0.0,53.0,2.0,17.0,19.0,314.0,142.0,148.0,67.0,301.0,40.0,18.0,160.0,39.0,3.0,1.0,22.0,53.0,330.0,387.0,0.0
dapA_1_98_B_MM7,657.0,223.0,2646.0,772.0,40.0,158.0,664.0,46.0,83.0,74.0,114.0,324.0,764.0,736.0,396.0,47.0,462.0,432.0,120.0,192.0,258.0,1137.0,98.0,74.0,632.0,3563.0,2739.0,1979.0,335.0,1.0,5.0,14.0,0.0,678.0,49.0,305.0,0.0,414.0,234.0,208.0,467.0,208.0,55.0,56.0,265.0,82.0,99.0,143.0,128.0,168.0,78.0,34.0,91.0,784.0,586.0,550.0,421.0,543.0,464.0,385.0,189.0,11.0,13.0,36.0,16.0,1057.0,96.0,995.0,235.0,244.0,295.0,1.0,120.0,102.0,2.0,379.0,572.0,1118.0,305.0,10.0,0.0,86.0,0.0,45.0,7.0,792.0,991.0,1279.0,455.0,402.0,78.0,84.0,157.0,72.0,1.0,0.0,14.0,172.0,1992.0,771.0,7.0
dapA_1_98_B_MM9,1852.0,559.0,837.0,5312.0,20.0,60.0,1891.0,106.0,67.0,46.0,22.0,235.0,564.0,1598.0,223.0,78.0,1467.0,174.0,154.0,206.0,1036.0,5379.0,448.0,949.0,778.0,6262.0,8021.0,7211.0,2.0,0.0,16.0,5.0,0.0,1239.0,228.0,543.0,19.0,605.0,530.0,553.0,2370.0,400.0,1039.0,255.0,513.0,13.0,371.0,323.0,43.0,1197.0,239.0,65.0,287.0,3083.0,1903.0,1760.0,1135.0,873.0,439.0,879.0,255.0,25.0,18.0,7.0,0.0,4055.0,226.0,1375.0,264.0,778.0,2206.0,1.0,343.0,234.0,0.0,683.0,1513.0,908.0,189.0,2.0,0.0,612.0,12.0,34.0,2.0,1252.0,4283.0,2589.0,271.0,590.0,97.0,42.0,359.0,488.0,1.0,0.0,60.0,733.0,4713.0,4187.0,18.0
dapA_1_98_C,53.0,41.0,29.0,18.0,172.0,14.0,120.0,1.0,3.0,4.0,3.0,22.0,13.0,80.0,253.0,58.0,6.0,0.0,86.0,8.0,56.0,77.0,12.0,18.0,3.0,222.0,18.0,63.0,8.0,0.0,2.0,20.0,0.0,4.0,38.0,1.0,0.0,28.0,1.0,33.0,9.0,0.0,28.0,0.0,20.0,0.0,1.0,1.0,24.0,42.0,2.0,1.0,26.0,16.0,16.0,52.0,25.0,19.0,33.0,23.0,183.0,26.0,0.0,25.0,129.0,80.0,70.0,17.0,16.0,24.0,6.0,0.0,23.0,41.0,0.0,0.0,45.0,219.0,34.0,0.0,0.0,19.0,1.0,7.0,1.0,19.0,43.0,52.0,57.0,19.0,141.0,7.0,61.0,4.0,9.0,0.0,14.0,6.0,12.0,16.0,5.0
dapA_1_98_W_MM1,90.0,135.0,86.0,77.0,2.0,334.0,33.0,229.0,47.0,73.0,41.0,566.0,28.0,185.0,196.0,29.0,35.0,54.0,117.0,27.0,59.0,14.0,20.0,4.0,9.0,184.0,1105.0,91.0,1.0,0.0,0.0,9.0,0.0,46.0,1.0,32.0,0.0,15.0,3.0,0.0,52.0,2.0,10.0,5.0,12.0,15.0,2.0,32.0,4.0,44.0,24.0,68.0,46.0,72.0,120.0,34.0,29.0,62.0,29.0,89.0,224.0,153.0,2.0,16.0,41.0,77.0,0.0,70.0,29.0,22.0,61.0,5.0,40.0,68.0,0.0,80.0,36.0,29.0,33.0,0.0,0.0,26.0,0.0,3.0,21.0,80.0,50.0,216.0,2.0,145.0,378.0,18.0,93.0,58.0,1.0,0.0,3.0,20.0,94.0,231.0,4.0
dapA_3_214_B_MM14,4833.0,206.0,694.0,2471.0,4.0,37.0,19267.0,93.0,229.0,42.0,199.0,548.0,857.0,2173.0,178.0,132.0,2826.0,35.0,36.0,189.0,3130.0,9215.0,916.0,3348.0,1829.0,15217.0,12198.0,19368.0,1.0,1.0,14.0,114.0,3.0,1908.0,50.0,1036.0,0.0,2804.0,443.0,1978.0,1808.0,830.0,2866.0,712.0,1186.0,182.0,1168.0,658.0,3576.0,1075.0,583.0,296.0,989.0,4241.0,4615.0,1309.0,1086.0,1954.0,398.0,1358.0,338.0,125.0,9.0,37.0,16.0,6223.0,362.0,2340.0,169.0,2900.0,4744.0,147.0,82.0,227.0,0.0,1422.0,1780.0,1532.0,478.0,4.0,0.0,3230.0,0.0,32.0,9.0,3108.0,7038.0,6759.0,610.0,1794.0,91.0,54.0,1522.0,6866.0,2.0,0.0,48.0,2518.0,17084.0,13916.0,17.0
dapA_3_214_B_MM6,31.0,51.0,20.0,70.0,5.0,7.0,230.0,538.0,528.0,239.0,77.0,377.0,253.0,310.0,163.0,17.0,134.0,77.0,145.0,105.0,44.0,183.0,34.0,8.0,42.0,432.0,463.0,378.0,0.0,2.0,6.0,6.0,0.0,190.0,35.0,12.0,19.0,101.0,74.0,218.0,64.0,4.0,48.0,64.0,20.0,60.0,11.0,30.0,0.0,68.0,9.0,14.0,79.0,221.0,87.0,61.0,71.0,40.0,36.0,161.0,125.0,43.0,21.0,2.0,0.0,271.0,93.0,215.0,33.0,56.0,15.0,19.0,37.0,72.0,0.0,130.0,114.0,309.0,74.0,5.0,6.0,39.0,0.0,2.0,0.0,443.0,512.0,109.0,123.0,265.0,96.0,79.0,70.0,36.0,1.0,0.0,23.0,49.0,241.0,210.0,0.0
dapA_3_214_B_MM9,256.0,11.0,64.0,78.0,0.0,25.0,275.0,111.0,685.0,210.0,71.0,221.0,276.0,297.0,282.0,58.0,87.0,95.0,207.0,128.0,102.0,316.0,8.0,9.0,168.0,656.0,613.0,681.0,0.0,0.0,4.0,1.0,0.0,173.0,55.0,15.0,183.0,59.0,78.0,27.0,85.0,11.0,299.0,20.0,62.0,64.0,24.0,103.0,10.0,94.0,129.0,0.0,163.0,217.0,78.0,80.0,89.0,67.0,71.0,164.0,124.0,23.0,106.0,30.0,45.0,270.0,67.0,380.0,27.0,138.0,96.0,9.0,54.0,213.0,0.0,86.0,73.0,394.0,229.0,76.0,0.0,78.0,8.0,53.0,17.0,366.0,266.0,304.0,226.0,462.0,23.0,7.0,104.0,81.0,20.0,0.0,17.0,48.0,536.0,188.0,20.0
dapA_3_214_C,59.0,73.0,51.0,127.0,7.0,23.0,94.0,359.0,390.0,244.0,211.0,170.0,195.0,89.0,67.0,280.0,22.0,41.0,127.0,219.0,139.0,362.0,22.0,34.0,14.0,222.0,145.0,340.0,13.0,7.0,20.0,54.0,0.0,233.0,39.0,18.0,0.0,41.0,29.0,8.0,38.0,25.0,48.0,16.0,9.0,56.0,32.0,102.0,42.0,41.0,64.0,22.0,25.0,61.0,88.0,56.0,83.0,68.0,56.0,162.0,145.0,49.0,78.0,35.0,18.0,331.0,49.0,90.0,41.0,41.0,19.0,326.0,195.0,77.0,0.0,69.0,67.0,210.0,27.0,35.0,0.0,44.0,0.0,0.0,0.0,140.0,217.0,168.0,179.0,159.0,135.0,71.0,112.0,40.0,0.0,0.0,36.0,86.0,243.0,101.0,1.0
