 ,Well,Fluor,Target,Content,Sample,Cq,SQ
 ,A01,SYBR,thyA,Unkn,gAT-339,21.65,
 ,A02,SYBR,thyA,Unkn,gAT-340,21.19,
 ,A03,SYBR,purN,Unkn,gAT-332,22.59,
 ,A04,SYBR,gltB,Unkn,gAT-278,22.42,
 ,A05,SYBR,purL,Unkn,gAT-322,23.63,
 ,A06,SYBR,purL,Unkn,gAT-325,21.98,
 ,A07,SYBR,purN,Unkn,gAT-328,23.67,
 ,A08,SYBR,thyA,Unkn,gAT-114,16.79,
 ,A09,SYBR,purN,Unkn,gAT-114,17.96,
 ,A10,SYBR,thyA,Unkn,no_temp,30.45,
 ,A11,SYBR,purN,Unkn,no_temp,,
 ,A12,SYBR,,Unkn,,,
 ,A13,SYBR,,Unkn,,,
 ,A14,SYBR,,Unkn,,,
 ,A15,SYBR,,Unkn,,,
 ,A16,SYBR,,Unkn,,,
 ,A17,SYBR,,Unkn,,,
 ,A18,SYBR,,Unkn,,,
 ,A19,SYBR,,Unkn,,,
 ,A20,SYBR,,Unkn,,,
 ,A21,SYBR,,Unkn,,,
 ,A22,SYBR,,Unkn,,38.94,
 ,A23,SYBR,,Unkn,,,
 ,A24,SYBR,,Unkn,,,
 ,B01,SYBR,thyA,Unkn,gAT-339,21.66,
 ,B02,SYBR,thyA,Unkn,gAT-340,21.2,
 ,B03,SYBR,purN,Unkn,gAT-332,23,
 ,B04,SYBR,gltB,Unkn,gAT-278,22.75,
 ,B05,SYBR,purL,Unkn,gAT-322,23.58,
 ,B06,SYBR,purL,Unkn,gAT-325,22.05,
 ,B07,SYBR,purN,Unkn,gAT-328,23.77,
 ,B08,SYBR,thyA,Unkn,gAT-114,16.69,
 ,B09,SYBR,purN,Unkn,gAT-114,18.21,
 ,B10,SYBR,thyA,Unkn,no_temp,31.03,
 ,B11,SYBR,purN,Unkn,no_temp,,
 ,B12,SYBR,,Unkn,,,
 ,B13,SYBR,,Unkn,,,
 ,B14,SYBR,,Unkn,,36.52,
 ,B15,SYBR,,Unkn,,,
 ,B16,SYBR,,Unkn,,,
 ,B17,SYBR,,Unkn,,,
 ,B18,SYBR,,Unkn,,,
 ,B19,SYBR,,Unkn,,,
 ,B20,SYBR,,Unkn,,,
 ,B21,SYBR,,Unkn,,,
 ,B22,SYBR,,Unkn,,,
 ,B23,SYBR,,Unkn,,,
 ,B24,SYBR,,Unkn,,,
 ,C01,SYBR,thyA,Unkn,gAT-339,21.61,
 ,C02,SYBR,thyA,Unkn,gAT-340,21.29,
 ,C03,SYBR,purN,Unkn,gAT-332,22.86,
 ,C04,SYBR,gltB,Unkn,gAT-278,22.51,
 ,C05,SYBR,purL,Unkn,gAT-322,23.57,
 ,C06,SYBR,purL,Unkn,gAT-325,21.84,
 ,C07,SYBR,purN,Unkn,gAT-328,23.69,
 ,C08,SYBR,thyA,Unkn,gAT-114,16.67,
 ,C09,SYBR,purN,Unkn,gAT-114,17.97,
 ,C10,SYBR,thyA,Unkn,no_temp,32.55,
 ,C11,SYBR,purN,Unkn,no_temp,,
 ,C12,SYBR,,Unkn,,,
 ,C13,SYBR,,Unkn,,,
 ,C14,SYBR,,Unkn,,,
 ,C15,SYBR,,Unkn,,,
 ,C16,SYBR,,Unkn,,,
 ,C17,SYBR,,Unkn,,,
 ,C18,SYBR,,Unkn,,,
 ,C19,SYBR,,Unkn,,,
 ,C20,SYBR,,Unkn,,,
 ,C21,SYBR,,Unkn,,38.93,
 ,C22,SYBR,,Unkn,,,
 ,C23,SYBR,,Unkn,,,
 ,C24,SYBR,,Unkn,,,
 ,D01,SYBR,hcaT,Unkn,gAT-339,20.75,
 ,D02,SYBR,hcaT,Unkn,gAT-340,20.4,
 ,D03,SYBR,hcaT,Unkn,gAT-332,20.35,
 ,D04,SYBR,hcaT,Unkn,gAT-278,21.44,
 ,D05,SYBR,hcaT,Unkn,gAT-322,20.83,
 ,D06,SYBR,hcaT,Unkn,gAT-325,21.18,
 ,D07,SYBR,hcaT,Unkn,gAT-328,21.12,
 ,D08,SYBR,hcaT,Unkn,gAT-114,20.9,
 ,D09,SYBR,gltB,Unkn,gAT-114,14.8,
 ,D10,SYBR,hcaT,Unkn,no_temp,,
 ,D11,SYBR,gltB,Unkn,no_temp,,
 ,D12,SYBR,,Unkn,,,
 ,D13,SYBR,,Unkn,,,
 ,D14,SYBR,,Unkn,,,
 ,D15,SYBR,,Unkn,,,
 ,D16,SYBR,,Unkn,,,
 ,D17,SYBR,,Unkn,,,
 ,D18,SYBR,,Unkn,,,
 ,D19,SYBR,,Unkn,,,
 ,D20,SYBR,,Unkn,,,
 ,D21,SYBR,,Unkn,,39.31,
 ,D22,SYBR,,Unkn,,,
 ,D23,SYBR,,Unkn,,,
 ,D24,SYBR,,Unkn,,,
 ,E01,SYBR,hcaT,Unkn,gAT-339,20.53,
 ,E02,SYBR,hcaT,Unkn,gAT-340,20.41,
 ,E03,SYBR,hcaT,Unkn,gAT-332,20.29,
 ,E04,SYBR,hcaT,Unkn,gAT-278,21.27,
 ,E05,SYBR,hcaT,Unkn,gAT-322,20.99,
 ,E06,SYBR,hcaT,Unkn,gAT-325,21.17,
 ,E07,SYBR,hcaT,Unkn,gAT-328,21.13,
 ,E08,SYBR,hcaT,Unkn,gAT-114,20.87,
 ,E09,SYBR,gltB,Unkn,gAT-114,14.99,
 ,E10,SYBR,hcaT,Unkn,no_temp,,
 ,E11,SYBR,gltB,Unkn,no_temp,,
 ,E12,SYBR,,Unkn,,,
 ,E13,SYBR,,Unkn,,,
 ,E14,SYBR,,Unkn,,,
 ,E15,SYBR,,Unkn,,,
 ,E16,SYBR,,Unkn,,,
 ,E17,SYBR,,Unkn,,,
 ,E18,SYBR,,Unkn,,,
 ,E19,SYBR,,Unkn,,,
 ,E20,SYBR,,Unkn,,,
 ,E21,SYBR,,Unkn,,,
 ,E22,SYBR,,Unkn,,,
 ,E23,SYBR,,Unkn,,,
 ,E24,SYBR,,Unkn,,39.51,
 ,F01,SYBR,hcaT,Unkn,gAT-339,20.64,
 ,F02,SYBR,hcaT,Unkn,gAT-340,20.35,
 ,F03,SYBR,hcaT,Unkn,gAT-332,20.29,
 ,F04,SYBR,hcaT,Unkn,gAT-278,21.23,
 ,F05,SYBR,hcaT,Unkn,gAT-322,20.99,
 ,F06,SYBR,hcaT,Unkn,gAT-325,21.33,
 ,F07,SYBR,hcaT,Unkn,gAT-328,21.11,
 ,F08,SYBR,hcaT,Unkn,gAT-114,20.86,
 ,F09,SYBR,gltB,Unkn,gAT-114,14.9,
 ,F10,SYBR,hcaT,Unkn,no_temp,,
 ,F11,SYBR,gltB,Unkn,no_temp,,
 ,F12,SYBR,,Unkn,,,
 ,F13,SYBR,,Unkn,,,
 ,F14,SYBR,,Unkn,,,
 ,F15,SYBR,,Unkn,,,
 ,F16,SYBR,,Unkn,,,
 ,F17,SYBR,,Unkn,,,
 ,F18,SYBR,,Unkn,,,
 ,F19,SYBR,,Unkn,,,
 ,F20,SYBR,,Unkn,,,
 ,F21,SYBR,,Unkn,,,
 ,F22,SYBR,,Unkn,,,
 ,F23,SYBR,,Unkn,,,
 ,F24,SYBR,,Unkn,,,
 ,G01,SYBR,gDNA,Unkn,gAT-339,24.27,
 ,G02,SYBR,gDNA,Unkn,gAT-340,22.91,
 ,G03,SYBR,gDNA,Unkn,gAT-332,23.6,
 ,G04,SYBR,gDNA,Unkn,gAT-278,23.93,
 ,G05,SYBR,gDNA,Unkn,gAT-322,24.18,
 ,G06,SYBR,gDNA,Unkn,gAT-325,23.82,
 ,G07,SYBR,gDNA,Unkn,gAT-328,23.63,
 ,G08,SYBR,gDNA,Unkn,gAT-114,23.04,
 ,G09,SYBR,purL,Unkn,gAT-114,18.64,
 ,G10,SYBR,gDNA,Unkn,no_temp,,
 ,G11,SYBR,purL,Unkn,no_temp,,
 ,G12,SYBR,,Unkn,,,
 ,G13,SYBR,,Unkn,,,
 ,G14,SYBR,,Unkn,,,
 ,G15,SYBR,,Unkn,,37.23,
 ,G16,SYBR,,Unkn,,36.83,
 ,G17,SYBR,,Unkn,,,
 ,G18,SYBR,,Unkn,,35.9,
 ,G19,SYBR,,Unkn,,,
 ,G20,SYBR,,Unkn,,,
 ,G21,SYBR,,Unkn,,,
 ,G22,SYBR,,Unkn,,,
 ,G23,SYBR,,Unkn,,,
 ,G24,SYBR,,Unkn,,,
 ,H01,SYBR,gDNA,Unkn,gAT-339,24.09,
 ,H02,SYBR,gDNA,Unkn,gAT-340,22.81,
 ,H03,SYBR,gDNA,Unkn,gAT-332,24.02,
 ,H04,SYBR,gDNA,Unkn,gAT-278,23.8,
 ,H05,SYBR,gDNA,Unkn,gAT-322,23.98,
 ,H06,SYBR,gDNA,Unkn,gAT-325,23.96,
 ,H07,SYBR,gDNA,Unkn,gAT-328,23.69,
 ,H08,SYBR,gDNA,Unkn,gAT-114,23.03,
 ,H09,SYBR,purL,Unkn,gAT-114,18.56,
 ,H10,SYBR,gDNA,Unkn,no_temp,,
 ,H11,SYBR,purL,Unkn,no_temp,,
 ,H12,SYBR,,Unkn,,,
 ,H13,SYBR,,Unkn,,,
 ,H14,SYBR,,Unkn,,,
 ,H15,SYBR,,Unkn,,,
 ,H16,SYBR,,Unkn,,,
 ,H17,SYBR,,Unkn,,,
 ,H18,SYBR,,Unkn,,,
 ,H19,SYBR,,Unkn,,,
 ,H20,SYBR,,Unkn,,,
 ,H21,SYBR,,Unkn,,,
 ,H22,SYBR,,Unkn,,,
 ,H23,SYBR,,Unkn,,,
 ,H24,SYBR,,Unkn,,,
 ,I01,SYBR,gDNA,Unkn,gAT-339,24.06,
 ,I02,SYBR,gDNA,Unkn,gAT-340,22.93,
 ,I03,SYBR,gDNA,Unkn,gAT-332,23.79,
 ,I04,SYBR,gDNA,Unkn,gAT-278,23.6,
 ,I05,SYBR,gDNA,Unkn,gAT-322,24.18,
 ,I06,SYBR,gDNA,Unkn,gAT-325,23.52,
 ,I07,SYBR,gDNA,Unkn,gAT-328,23.61,
 ,I08,SYBR,gDNA,Unkn,gAT-114,23.04,
 ,I09,SYBR,purL,Unkn,gAT-114,18.8,
 ,I10,SYBR,gDNA,Unkn,no_temp,,
 ,I11,SYBR,purL,Unkn,no_temp,,
 ,I12,SYBR,,Unkn,,39.93,
 ,I13,SYBR,,Unkn,,36.51,
 ,I14,SYBR,,Unkn,,,
 ,I15,SYBR,,Unkn,,,
 ,I16,SYBR,,Unkn,,,
 ,I17,SYBR,,Unkn,,,
 ,I18,SYBR,,Unkn,,37.59,
 ,I19,SYBR,,Unkn,,,
 ,I20,SYBR,,Unkn,,,
 ,I21,SYBR,,Unkn,,,
 ,I22,SYBR,,Unkn,,39.47,
 ,I23,SYBR,,Unkn,,,
 ,I24,SYBR,,Unkn,,,
 ,J01,SYBR,,Unkn,,36.07,
 ,J02,SYBR,,Unkn,,,
 ,J03,SYBR,,Unkn,,38.56,
 ,J04,SYBR,,Unkn,,,
 ,J05,SYBR,,Unkn,,,
 ,J06,SYBR,,Unkn,,,
 ,J07,SYBR,,Unkn,,,
 ,J08,SYBR,,Unkn,,,
 ,J09,SYBR,,Unkn,,,
 ,J10,SYBR,,Unkn,,,
 ,J11,SYBR,,Unkn,,,
 ,J12,SYBR,,Unkn,,,
 ,J13,SYBR,,Unkn,,,
 ,J14,SYBR,,Unkn,,35.43,
 ,J15,SYBR,,Unkn,,,
 ,J16,SYBR,,Unkn,,36.11,
 ,J17,SYBR,,Unkn,,,
 ,J18,SYBR,,Unkn,,,
 ,J19,SYBR,,Unkn,,,
 ,J20,SYBR,,Unkn,,39.21,
 ,J21,SYBR,,Unkn,,38.03,
 ,J22,SYBR,,Unkn,,,
 ,J23,SYBR,,Unkn,,39.1,
 ,J24,SYBR,,Unkn,,,
 ,K01,SYBR,,Unkn,,31.82,
 ,K02,SYBR,,Unkn,,,
 ,K03,SYBR,,Unkn,,38.58,
 ,K04,SYBR,,Unkn,,,
 ,K05,SYBR,,Unkn,,37.38,
 ,K06,SYBR,,Unkn,,34.73,
 ,K07,SYBR,,Unkn,,,
 ,K08,SYBR,,Unkn,,,
 ,K09,SYBR,,Unkn,,,
 ,K10,SYBR,,Unkn,,,
 ,K11,SYBR,,Unkn,,,
 ,K12,SYBR,,Unkn,,37.15,
 ,K13,SYBR,,Unkn,,35.35,
 ,K14,SYBR,,Unkn,,,
 ,K15,SYBR,,Unkn,,36.17,
 ,K16,SYBR,,Unkn,,35.69,
 ,K17,SYBR,,Unkn,,36.51,
 ,K18,SYBR,,Unkn,,,
 ,K19,SYBR,,Unkn,,,
 ,K20,SYBR,,Unkn,,,
 ,K21,SYBR,,Unkn,,34.63,
 ,K22,SYBR,,Unkn,,,
 ,K23,SYBR,,Unkn,,36.36,
 ,K24,SYBR,,Unkn,,36.55,
 ,L01,SYBR,,Unkn,,38.69,
 ,L02,SYBR,,Unkn,,37.45,
 ,L03,SYBR,,Unkn,,,
 ,L04,SYBR,,Unkn,,,
