 ,Well,Fluor,Target,Content,Sample,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
 ,A01,SYBR,dapB,Unkn,gAT-245,22.07,22.07,0,,,,0,60,
 ,A02,SYBR,dapB,Unkn,gAT-246,23.16,23.16,0,,,,0,60,
 ,A03,SYBR,dapB,Unkn,gAT-247,19.28,19.28,0,,,,0,60,
 ,A04,SYBR,dapB,Unkn,gAT-248,19.06,19.06,0,,,,0,60,
 ,A05,SYBR,dapB,Unkn,gAT-249,18.96,18.96,0,,,,0,60,
 ,A06,SYBR,dapB,Unkn,gAT-250,22.61,22.61,0,,,,0,60,
 ,A07,SYBR,dapB,Unkn,gAT-251,22.53,22.53,0,,,,0,60,
 ,A08,SYBR,dapB,Unkn,gAT-252,22.56,22.56,0,,,,0,60,
 ,A09,SYBR,dapB,Unkn,gAT-253,19.72,19.72,0,,,,0,60,
 ,A10,SYBR,dapB,Unkn,gAT-114,19.76,19.76,0,,,,0,60,
 ,A11,SYBR,dapB,Unkn,no_temp,,0,0,,,0,0,60,
 ,A12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A16,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A17,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A18,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A19,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A20,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A21,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A22,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A23,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,A24,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B01,SYBR,dapB,Unkn,gAT-245,22.1,22.1,0,,,,0,60,
 ,B02,SYBR,dapB,Unkn,gAT-246,22.96,22.96,0,,,,0,60,
 ,B03,SYBR,dapB,Unkn,gAT-247,19.31,19.31,0,,,,0,60,
 ,B04,SYBR,dapB,Unkn,gAT-248,18.88,18.88,0,,,,0,60,
 ,B05,SYBR,dapB,Unkn,gAT-249,19.06,19.06,0,,,,0,60,
 ,B06,SYBR,dapB,Unkn,gAT-250,22.6,22.6,0,,,,0,60,
 ,B07,SYBR,dapB,Unkn,gAT-251,22.43,22.43,0,,,,0,60,
 ,B08,SYBR,dapB,Unkn,gAT-252,22.41,22.41,0,,,,0,60,
 ,B09,SYBR,dapB,Unkn,gAT-253,19.66,19.66,0,,,,0,60,
 ,B10,SYBR,dapB,Unkn,gAT-114,19.99,19.99,0,,,,0,60,
 ,B11,SYBR,dapB,Unkn,no_temp,28.77,28.77,0,,,,0,60,
 ,B12,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B13,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B14,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B15,SYBR,,Unkn,,,0,0,,,0,0,60,
 ,B16,SYBR,,Unkn,,,0,0,,,0,0,60,
