,Well,Fluor,Target,Content,Sample,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,A01,SYBR,folA,Unkn,gAT-114,20.13,20.13,0.000,,,,0.00000,60.0,
,A02,SYBR,folA,Unkn,gAT-114,20.05,20.05,0.000,,,,0.00000,60.0,
,A03,SYBR,folA,Unkn,gAT-114,19.68,19.68,0.000,,,,0.00000,60.0,
,A04,SYBR,folA,Unkn,gAT-255,23.83,23.83,0.000,,,,0.00000,60.0,
,A05,SYBR,folA,Unkn,gAT-255,24.99,24.99,0.000,,,,0.00000,60.0,
,A06,SYBR,folA,Unkn,gAT-255,24.80,24.80,0.000,,,,0.00000,60.0,
,A07,SYBR,folA,Unkn,gAT-263,22.66,22.66,0.000,,,,0.00000,60.0,
,A08,SYBR,folA,Unkn,gAT-263,23.56,23.56,0.000,,,,0.00000,60.0,
,A09,SYBR,folA,Unkn,gAT-263,24.03,24.03,0.000,,,,0.00000,60.0,
,A10,SYBR,folA,Unkn,no_temp,33.53,33.53,0.000,,,,0.00000,60.0,
,A11,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A12,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A13,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A14,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A15,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A16,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A17,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A18,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A19,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A20,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
,A21,SYBR,,Unkn,,,0.00,0.000,,,0.00000,0.00000,60.0,
